Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,2.0,2,0.0,0.98524901216804,0.0762676965650551,1.1824200773857083,0.0
2,True,4.0,3,1.0,0.3530478562068002,0.611704474263766,0.8020462392749392,1.0
3,True,8.0,6,2.0,0.3916006860661112,0.8004682762754582,1.103068856049101,0.0
4,True,7.0,7,0.0,0.3730275781890069,0.6052595107939157,0.8101427922564733,0.0
5,True,16.0,14,2.0,0.3470398928534608,1.0178062644629782,1.2353617205056489,1.0
6,True,11.0,11,0.0,0.3874126018827441,1.0198652057719857,1.3306758120686404,0.0
7,True,18.0,18,0.0,0.2218207846924061,0.9789764181821572,1.0487113841396525,0.0
8,True,5.0,4,1.0,0.2536769717553499,1.3336122058185929,1.4734927615909612,0.0
9,True,18.0,18,0.0,0.0661502548377375,0.920426206296173,0.9265738966713402,1.0
10,True,3.0,3,0.0,0.7646147586850919,1.087017890385732,2.363118600019904,1.0
11,True,1.0,1,0.0,1.2548615384516997,0.0,1.6026704207036189,1.0
12,True,18.0,18,0.0,0.190569180583279,0.8566598563197328,0.9130848226891825,0.0
13,True,0.0,0,0.0,,,,0.0
14,True,9.0,9,0.0,0.40381129671457,0.7011564337725978,0.9844679611852404,0.0
15,True,21.0,18,3.0,0.1642884062036808,0.9709246487809684,1.0315812043565795,1.0
16,True,8.0,7,1.0,0.0422341293670172,1.1259283515333514,1.1395650187775253,0.0
17,True,10.0,9,1.0,0.1688110184977869,0.9389420365155262,1.0052017383963392,1.0
18,True,2.0,2,0.0,0.7285418313298601,0.3656932571251444,1.0721841656871414,1.0
19,True,4.0,3,1.0,0.3948241668661975,0.5434722939006817,0.756714879919193,0.0
20,False,0.0,0,0.0,,,,
21,True,12.0,12,0.0,0.0967608305805009,0.8725132220967767,0.8769444046313618,1.0
22,True,6.0,5,1.0,0.4341839801732163,1.127340885745096,1.4761626920864093,1.0
23,True,10.0,10,0.0,0.0647110373039468,0.7735131424302123,0.7824366885253254,1.0
24,True,10.0,8,2.0,0.3442877026311422,1.2878430595328791,1.5997850830185627,1.0
25,True,18.0,17,1.0,0.393977332529553,0.8056071515820381,1.0909848433237543,1.0
