RNA_Spot_ID,Y,X
1,483,1193
2,487,1203
3,490,1105
4,492,780
5,495,811
6,503,1193
7,512,1110
8,524,1191
9,545,1145
10,554,1256
11,565,741
12,569,1067
13,569,1214
14,579,736
15,579,1207
16,590,1212
17,597,1067
18,605,817
19,614,1101
20,621,1365
21,641,832
22,642,1147
23,663,1234
24,664,1087
25,713,1231
26,719,741
27,733,679
28,741,892
29,742,757
30,745,999
31,754,1349
32,769,917
33,770,994
34,772,667
35,775,729
36,778,1232
37,781,1144
38,791,930
39,793,950
40,793,827
41,804,2027
42,817,1050
43,818,928
44,824,589
45,830,961
46,837,1402
47,841,1047
48,847,862
49,846,962
50,852,675
51,855,732
52,866,860
53,867,2015
54,873,935
55,875,2045
56,877,1011
57,892,1242
58,892,839
59,895,767
60,905,653
61,906,730
62,905,806
63,924,2005
64,926,1132
65,935,1483
66,940,2028
67,942,2040
68,946,748
69,949,1000
70,954,1530
71,964,1045
72,967,871
73,967,2046
74,969,1068
75,984,723
76,986,1308
77,988,1025
78,988,1099
79,990,992
80,998,795
81,1000,876
82,1001,1011
83,1019,1316
84,1022,912
85,1024,759
86,1025,954
87,1030,1004
88,1029,1050
89,1031,2024
90,1030,1575
91,1031,1682
92,1032,1074
93,1039,636
94,1042,1648
95,1041,1688
96,1047,2044
97,1051,881
98,1058,709
99,1059,1356
100,1063,1362
101,1072,638
102,1076,2025
103,1076,1400
104,1077,1610
105,1077,983
106,1078,616
107,1079,1433
108,1085,823
109,1089,1544
110,1090,1301
111,1095,1470
112,1096,953
113,1096,1690
114,1100,1259
115,1101,1585
116,1103,1412
117,1103,1723
118,1107,876
119,1107,1357
120,1113,912
121,1113,890
122,1114,1150
123,1114,1440
124,1118,1052
125,1119,1110
126,1121,1709
127,1144,1561
128,1150,1547
129,1150,995
130,1151,1022
131,1152,826
132,1152,1181
133,1160,762
134,1160,1028
135,1160,1160
136,1171,1417
137,1171,1576
138,1176,994
139,1179,719
140,1183,745
141,1185,1375
142,1185,1276
143,1185,1398
144,1186,1721
145,1188,1051
146,1192,1700
147,1194,794
148,1198,1589
149,1198,1681
150,1207,692
151,1207,1464
152,1209,796
153,1210,1075
154,1213,1469
155,1215,1198
156,1215,785
157,1217,661
158,1222,1094
159,1223,1332
160,1224,1360
161,1225,938
162,1230,728
163,1231,996
164,1232,801
165,1232,1540
166,1235,1150
167,1235,1226
168,1237,1403
169,1238,1644
170,1241,1299
171,1243,781
172,1244,1384
173,1243,1484
174,1245,1321
175,1250,1448
176,1258,1438
177,1259,1514
178,1259,1182
179,1259,1416
180,1261,1108
181,1261,1521
182,1263,1540
183,1266,675
184,1266,1314
185,1268,711
186,1268,1063
187,1278,1287
188,1279,1133
189,1279,1320
190,1291,1566
191,1293,929
192,1295,654
193,1296,1037
194,1297,1470
195,1301,1270
196,1305,1102
197,1305,1136
198,1306,1523
199,1310,1592
200,1312,1089
201,1312,1213
202,1315,1324
203,1318,1289
204,1319,1646
205,1324,1070
206,1326,1205
207,1326,937
208,1326,1222
209,1327,1485
210,1333,1501
211,1336,1102
212,1338,954
213,1341,1144
214,1342,1235
215,1343,1115
216,1345,1367
217,1348,1162
218,1352,1495
219,1356,1229
220,1356,1078
221,1359,1608
222,1360,969
223,1362,1156
224,1365,1013
225,1374,1104
226,1381,1050
227,1385,1109
228,1385,1471
229,1388,1426
230,1392,1052
231,1394,1387
232,1395,1268
233,1398,1253
234,1399,1195
235,1403,1074
236,1413,1115
237,1418,1590
238,1422,1072
239,1422,1019
240,1425,1267
241,1429,1567
242,1446,1237
243,1447,1104
244,1457,1040
245,1470,1484
246,1472,1246
247,1485,1039
248,1503,1333
249,1503,1159
250,1575,1156
251,1581,922
252,1584,1296
253,1590,872
254,1596,914
255,1706,824
256,1726,890
257,1739,896
258,1749,1004
259,1749,849
260,1766,886
261,1784,976
262,1788,1114
263,1790,987
264,1796,885
265,1826,993
266,1827,1102
267,1833,873
268,1835,1045
269,1841,726
270,1845,854
271,1848,993
272,1851,1132
273,1857,839
274,1858,819
275,1861,691
276,1866,786
277,1867,959
278,1869,1027
279,1873,697
280,1876,777
281,1885,818
282,1886,1036
283,1887,1139
284,1889,969
285,1890,767
286,1893,786
287,1893,886
288,1901,1011
289,1903,840
290,1906,992
291,1916,806
292,1918,1044
293,1930,889
294,1929,1002
295,1934,960
296,1937,866
297,1943,965
298,1951,937
299,1951,843
300,1954,919
301,1955,904
302,1960,980
303,1962,856
304,1968,1130
305,1970,242
306,1980,863
307,1985,418
308,1988,812
309,1990,264
310,1997,1213
311,2001,826
312,2009,880
313,2013,1114
314,2030,741
315,2036,736
316,2046,1192
317,2046,805
318,2047,970
319,2047,999
