RNA_Spot_ID,Y,X
1,324,24
2,386,1406
3,404,1341
4,430,1134
5,446,1348
6,479,1262
7,484,1148
8,559,1065
9,574,1295
10,642,897
11,673,1476
12,677,1020
13,689,1223
14,694,1106
15,705,986
16,710,1055
17,719,1081
18,741,1079
19,741,1096
20,744,973
21,750,1233
22,776,1030
23,778,1354
24,786,1362
25,789,1038
26,795,1348
27,796,887
28,797,1101
29,808,1371
30,816,1143
31,862,24
32,863,904
33,864,59
34,868,1411
35,879,1405
36,887,1474
37,893,1087
38,905,1411
39,912,1319
40,920,1098
41,922,801
42,922,1162
43,928,934
44,939,1236
45,947,1284
46,948,1129
47,954,1187
48,961,1250
49,964,102
50,965,1202
51,978,1404
52,982,138
53,992,1228
54,997,1353
55,997,1370
56,998,783
57,1001,1142
58,1005,111
59,1018,910
60,1017,1140
61,1035,180
62,1064,848
63,1074,1313
64,1147,891
65,1172,1343
66,1208,1256
67,1230,12
68,1240,2
69,1275,27
70,1430,1255
71,1572,1838
72,1619,2024
73,1730,799
74,1770,1974
75,1783,1996
76,1785,1943
77,1806,1909
78,1815,772
79,1816,1975
80,1818,1957
81,1825,722
82,1829,2019
83,1844,1906
84,1850,2019
85,1852,825
86,1865,777
87,1874,591
88,1884,832
89,1903,2030
90,1908,918
91,1923,798
92,1924,820
93,1926,896
94,1941,1135
95,1943,774
96,2004,960
97,2004,839
98,2023,898
99,2046,614
