RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,186,1271,True,595.0,8.6,185.21343873517787,32.17874745260164,126.31798245614036,1.0,1.0,1.0,0.0
2,206,1275,True,499.0,7.7,190.81725888324877,24.55358616353315,125.08991228070175,1.0,1.0,1.0,0.0
3,234,1337,True,382.0,7.8,172.39593908629442,22.09940245215825,121.32456140350877,1.0,1.0,1.0,0.0
4,240,1252,True,1113.0,7.9,285.6700507614213,57.95937964729339,130.84868421052633,1.0,1.0,1.0,0.0
5,269,1309,True,521.0,8.4,183.8181818181818,28.810073501020227,125.4451754385965,1.0,1.0,1.0,0.0
6,273,1190,True,238.0,8.4,144.68774703557312,8.895475354488116,122.02412280701756,1.0,2.0,1.0,0.0
7,273,1221,True,451.0,7.800000000000001,173.1979695431472,26.225376853332435,124.1798245614035,1.0,1.0,1.0,0.0
8,283,854,False,,,,,,,,,
9,323,1295,True,273.0,7.0,143.8724832214765,13.417662007808303,121.85087719298244,1.0,1.0,1.0,0.0
10,356,1015,True,497.0,10.8,175.3872679045093,19.690272912928044,141.25877192982455,1.0,5.0,1.0,0.0
11,359,877,False,,,,,,,,,
12,363,1329,True,545.0,6.9,192.9261744966443,34.03628536717067,126.57456140350877,1.0,3.0,1.0,0.0
13,377,776,True,689.0,7.1,209.01522842639596,44.7897123946556,124.8311403508772,1.0,4.0,1.0,0.0
14,377,1167,True,241.0,8.2,136.00395256916997,10.31872884469886,124.2609649122807,1.0,2.0,1.0,0.0
15,379,955,True,930.0,7.399999999999999,270.1776649746193,45.60688541127579,145.14473684210526,0.0,,,
16,380,1016,True,428.0,12.2,189.55765595463137,6.196618202253519,161.14912280701753,1.0,5.0,1.0,0.0
17,381,729,True,452.0,8.2,173.07509881422925,24.288286403358043,125.70394736842104,1.0,4.0,1.0,0.0
18,387,1363,True,333.0,7.4,145.96954314720813,16.853128347352136,123.390350877193,1.0,3.0,1.0,0.0
