RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,7,1590,False,,,,,,,,,
2,8,57,False,,,,,,,,,
3,24,93,False,,,,,,,,,
4,73,702,True,261.0,9.0,136.59683794466403,13.335227235625226,116.2061403508772,1.0,1.0,1.0,0.0
5,78,677,True,211.0,7.2,129.28934010152284,9.041640281680747,114.31798245614036,1.0,1.0,1.0,0.0
6,90,61,False,,,,,,,,,
7,91,638,True,300.0,8.1,142.1818181818182,16.92535068671601,117.24122807017544,1.0,1.0,1.0,0.0
8,151,815,True,584.0,8.0,211.42131979695432,32.869685809982,127.56140350877192,1.0,2.0,1.0,0.0
9,164,878,True,207.0,10.5,133.9946949602122,6.94641467053436,124.83552631578948,0.0,,,
10,169,847,True,441.0,7.5,175.6497461928934,22.70027450759979,124.57236842105264,1.0,2.0,1.0,0.0
11,171,728,True,231.0,9.2,137.57097791798108,9.476510157695252,120.09649122807018,1.0,2.0,1.0,0.0
12,172,605,True,177.0,7.4,141.64467005076142,3.566957495747608,125.5592105263158,1.0,1.0,1.0,0.0
13,172,623,True,236.0,8.2,136.31225296442688,9.424285784420505,124.56359649122808,1.0,1.0,1.0,0.0
14,177,668,True,504.0,8.7,192.1067193675889,24.477161948644888,127.70394736842104,1.0,1.0,1.0,0.0
15,181,648,True,793.0,8.100000000000001,241.35177865612647,38.514691017819175,131.83771929824562,1.0,1.0,1.0,0.0
16,199,110,False,,,,,,,,,
17,201,633,True,390.0,7.8,159.25888324873097,20.37645288400908,122.08333333333331,1.0,1.0,1.0,0.0
18,233,0,False,,,,,,,,,
19,266,350,True,294.0,9.2,135.15141955835963,14.453931378845253,116.41228070175438,1.0,6.0,1.0,0.0
20,275,775,True,317.0,7.6,149.71065989847716,16.45418768989538,117.6030701754386,1.0,5.0,0.0,1.0
21,301,346,True,250.0,13.2,148.0146818923328,4.125841749987073,134.23684210526315,1.0,6.0,1.0,0.0
22,311,346,True,244.0,14.4,144.22849083215797,2.950441847151047,137.8421052631579,1.0,6.0,1.0,0.0
23,340,382,True,516.0,6.5,178.28187919463087,31.74800807975725,121.17324561403508,1.0,6.0,1.0,0.0
24,347,767,True,565.0,8.1,181.7193675889328,25.685674202791503,127.96052631578948,1.0,5.0,1.0,0.0
25,350,474,True,509.0,8.7,172.59683794466403,31.344589765300448,120.6907894736842,1.0,6.0,1.0,0.0
26,354,443,True,794.0,9.0,262.15415019762844,15.39856170285788,143.2061403508772,1.0,6.0,1.0,0.0
27,360,1035,True,795.0,7.3,233.2944162436548,49.68627706200716,126.07675438596492,0.0,,,
28,362,447,True,375.0,14.4,178.1410437235543,1.6377660347929015,171.53947368421052,1.0,6.0,1.0,0.0
29,363,931,True,960.0,8.8,255.87351778656125,51.3303618409765,135.484649122807,1.0,10.0,1.0,0.0
30,382,431,True,286.0,6.9,158.7986577181208,14.709692490336074,122.390350877193,1.0,6.0,1.0,0.0
31,383,1093,True,740.0,8.0,225.8730964467005,38.24006861684722,135.56798245614036,1.0,7.0,1.0,0.0
32,389,954,True,1081.0,7.5,316.6395939086294,6.775270693224753,183.4517543859649,1.0,10.0,1.0,0.0
33,393,988,True,664.0,8.0,208.7969543147208,37.4443095621043,131.76315789473685,1.0,10.0,1.0,0.0
34,396,942,True,1014.0,6.0,437.98230088495575,5.819684129610269,203.3815789473684,1.0,10.0,1.0,0.0
35,407,951,True,481.0,6.4,222.5704697986577,1.8027056852186256,192.98684210526315,1.0,10.0,1.0,0.0
36,411,909,True,575.0,7.2,203.1065989847716,15.11623594961439,145.12280701754386,1.0,10.0,1.0,0.0
37,412,893,True,214.0,17.35,143.50049554013876,4.8532616717429615,134.38377192982455,1.0,10.0,1.0,0.0
38,415,429,True,427.0,7.5,154.3248730964467,26.706093002209688,120.34210526315788,1.0,6.0,1.0,0.0
39,418,647,True,437.0,9.8,179.84542586750788,12.710938477436931,142.70833333333334,1.0,8.0,1.0,0.0
40,419,917,True,312.0,11.5,163.2698412698413,2.285103846176937,163.0328947368421,1.0,10.0,1.0,0.0
41,425,843,True,709.0,8.5,213.78656126482213,39.37610696619274,133.4078947368421,1.0,10.0,1.0,0.0
42,430,977,True,204.0,4.0,199.44897959183675,5.763018021509145,127.46052631578948,1.0,11.0,1.0,0.0
43,443,1014,True,980.0,6.9,319.1409395973154,58.83385432251621,133.0328947368421,1.0,11.0,1.0,0.0
44,450,962,True,354.0,6.7,160.248322147651,16.692393367838697,127.64254385964912,1.0,11.0,1.0,0.0
45,453,994,True,902.0,7.300000000000001,239.9035532994924,48.44103607373346,132.87061403508773,1.0,11.0,1.0,0.0
46,457,980,True,233.0,4.8,158.9506172839506,1.6465958208103957,141.9671052631579,1.0,11.0,1.0,0.0
47,474,1884,False,,,,,,,,,
48,474,1923,False,,,,,,,,,
49,481,919,True,1159.0,7.6,314.78680203045684,7.760147852130446,183.99780701754383,1.0,11.0,1.0,0.0
