RNA_Spot_ID,Y,X
1,206,1279
2,222,1310
3,226,1227
4,240,1098
5,247,1246
6,248,1217
7,248,1273
8,249,1112
9,253,1285
10,265,1204
11,267,1098
12,268,1382
13,272,1302
14,276,1143
15,276,1255
16,277,918
17,278,1056
18,278,1102
19,279,1165
20,280,1273
21,281,1015
22,283,1296
23,284,995
24,286,885
25,286,906
26,286,1114
27,289,1221
28,291,861
29,295,1339
30,296,1081
31,296,1185
32,297,1156
33,298,1206
34,300,1220
35,301,874
36,301,901
37,303,912
38,305,1272
39,305,1304
40,306,994
41,307,1055
42,309,1095
43,311,1042
44,312,846
45,312,1175
46,316,1158
47,318,1060
48,319,895
49,320,1120
50,321,1234
51,321,1290
52,322,1136
53,323,691
54,324,878
55,325,1335
56,327,938
57,329,1082
58,330,709
59,330,849
60,331,1168
61,337,716
62,338,877
63,338,1179
64,341,1336
65,342,862
66,344,890
67,344,904
68,346,1200
69,348,847
70,348,1419
71,350,1045
72,350,1274
73,352,1397
74,354,705
75,354,1087
76,355,714
77,355,857
78,355,1325
79,358,1071
80,359,1189
81,360,769
82,360,1134
83,360,1300
84,361,1042
85,363,960
86,362,1452
87,363,835
88,363,1107
89,366,809
90,367,875
91,369,679
92,369,1207
93,372,760
94,372,1425
95,373,1320
96,374,826
97,374,1168
98,374,1439
99,376,1078
100,377,729
101,379,908
102,379,924
103,379,1338
104,380,1483
105,381,882
106,382,872
107,385,718
108,385,792
109,385,854
110,386,1024
111,386,1039
112,388,810
113,388,1401
114,389,826
115,391,1105
116,392,1073
117,393,1384
118,394,704
119,395,849
120,395,1321
121,397,1027
122,399,982
123,401,1017
124,404,1069
125,405,719
126,406,1124
127,407,1439
128,408,740
129,408,766
130,408,1054
131,411,1000
132,412,911
133,412,1030
134,412,1418
135,416,654
136,417,809
137,417,831
138,418,888
139,419,1310
140,420,690
141,423,904
142,427,1087
143,427,1426
144,428,1039
145,428,1333
146,428,1402
147,430,968
148,432,998
149,432,1112
150,433,914
151,433,1360
152,433,1412
153,434,881
154,436,803
155,437,1064
156,439,870
157,441,667
158,441,931
159,441,1340
160,442,987
161,444,1041
162,445,1500
163,446,1091
164,447,692
165,448,1416
166,449,869
167,449,1119
168,449,1381
169,449,1476
170,451,1020
171,452,832
172,453,846
173,453,1010
174,453,1434
175,455,1335
176,456,720
177,456,804
178,457,926
179,459,733
180,459,884
181,459,1465
182,460,961
183,460,1039
184,461,1047
185,463,1086
186,464,727
187,464,856
188,464,905
189,465,1067
190,465,1345
191,466,1367
192,467,1014
193,467,1298
194,470,981
195,472,817
196,472,999
197,472,1325
198,474,1403
199,474,1421
200,475,703
201,475,720
202,477,1024
203,477,1112
204,479,1361
205,480,878
206,481,668
207,481,831
208,482,1318
209,483,998
210,483,1058
211,483,1384
212,486,780
213,487,650
214,489,860
215,490,694
216,490,937
217,492,974
218,492,884
219,492,1420
220,492,1431
221,493,1288
222,494,756
223,494,844
224,494,1307
225,494,1358
226,495,1320
227,496,966
228,498,809
229,499,722
230,499,1334
231,501,1387
232,502,680
233,502,897
234,505,910
235,505,1463
236,506,748
237,506,1029
238,506,1504
239,507,878
240,508,795
241,512,1488
242,518,1008
243,517,1412
244,518,683
245,518,831
246,519,729
247,520,648
248,521,1439
249,523,813
250,526,614
251,526,1322
252,528,887
253,528,1459
254,530,913
255,532,848
256,534,726
257,536,1449
258,537,1514
259,538,1532
260,540,593
261,539,789
262,539,815
263,542,1544
264,543,667
265,543,863
266,543,1315
267,543,1401
268,546,631
269,546,1024
270,547,1425
271,548,879
272,548,912
273,548,1493
274,550,1473
275,551,788
276,551,844
277,552,690
278,552,729
279,554,709
280,557,1521
281,559,1498
282,559,1536
283,560,929
284,562,917
285,563,777
286,565,689
287,567,1026
288,568,1566
289,569,1517
290,572,620
291,572,900
292,576,1395
293,577,635
294,577,764
295,578,1330
296,580,751
297,580,1559
298,581,896
299,582,1012
300,582,1410
301,584,658
302,585,1482
303,586,1542
304,588,624
305,588,674
306,588,700
307,589,723
308,590,852
309,591,1503
310,592,839
311,593,1525
312,595,1445
313,597,1557
314,597,1608
315,598,608
316,600,739
317,601,1524
318,603,1508
319,604,627
320,605,659
321,606,758
322,607,1132
323,607,1535
324,608,774
325,609,1438
326,612,1143
327,611,1553
328,612,506
329,612,1397
330,612,1569
331,613,727
332,613,935
333,617,470
334,618,973
335,619,1009
336,620,1441
337,622,893
338,623,1457
339,624,539
340,626,1521
341,628,657
342,629,1050
343,634,971
344,635,476
345,635,778
346,636,1485
347,639,490
348,639,615
349,641,1556
350,642,654
351,642,1527
352,643,640
353,644,582
354,646,1056
355,647,695
356,648,522
357,650,1010
358,652,1534
359,654,718
360,654,1413
361,657,436
362,657,534
363,659,684
364,659,738
365,660,1520
366,661,1381
367,661,1592
368,661,1627
369,662,555
370,663,822
371,664,1542
372,665,1120
373,665,1407
374,666,571
375,666,987
376,667,769
377,669,1426
378,671,806
379,672,419
380,672,1571
381,674,1073
382,673,1352
383,675,813
384,675,1657
385,676,965
386,676,1535
387,678,548
388,679,496
389,679,1467
390,680,771
391,682,754
392,682,788
393,684,1639
394,684,1664
395,686,612
396,686,1401
397,686,1554
398,687,556
399,687,1483
400,690,1621
401,691,724
402,691,1030
403,692,491
404,694,1074
405,693,1725
406,694,523
407,694,1450
408,695,1689
409,698,1628
410,700,771
411,701,727
412,702,1347
413,703,461
414,703,1363
415,704,792
416,705,1324
417,704,1537
418,706,692
419,706,1673
420,707,1480
421,707,1611
422,709,1422
423,709,1458
424,710,1086
425,710,1709
426,715,1514
427,716,456
428,717,600
429,717,1444
430,717,1551
431,719,418
432,719,648
433,719,764
434,720,804
435,721,1406
436,722,1061
437,722,1280
438,722,1390
439,723,1363
440,723,1724
441,724,738
442,724,1330
443,724,1423
444,724,1590
445,725,815
446,728,787
447,728,1474
448,728,1662
449,729,720
450,731,1495
451,732,522
452,732,695
453,735,569
454,735,752
455,735,835
456,735,1395
457,735,1444
458,736,1520
459,738,802
460,739,512
461,740,597
462,740,847
463,740,1350
464,741,1407
465,742,765
466,742,1094
467,746,394
468,746,462
469,746,1550
470,747,564
471,747,730
472,748,1246
473,748,1500
