RNA_Spot_ID,Y,X
1,0,1567
2,13,56
3,12,1418
4,12,1527
5,20,1536
6,27,26
7,26,64
8,38,42
9,50,704
10,55,72
11,59,755
12,62,0
13,62,39
14,64,635
15,70,708
16,74,44
17,82,12
18,82,57
19,87,706
20,90,598
21,91,620
22,95,737
23,95,822
24,96,754
25,99,34
26,100,848
27,105,66
28,105,577
29,106,589
30,108,654
31,111,816
32,112,703
33,113,48
34,115,96
35,115,837
36,119,854
37,119,78
38,120,637
39,124,68
40,124,738
41,127,875
42,129,25
43,128,682
44,128,711
45,131,603
46,131,658
47,132,53
48,134,836
49,136,65
50,137,89
51,137,857
52,138,38
53,139,580
54,139,627
55,140,821
56,143,603
57,147,81
58,150,727
59,152,627
60,153,836
61,157,59
62,157,663
63,158,831
64,158,782
65,161,582
66,160,630
67,164,572
68,165,9
69,167,641
70,167,815
71,168,746
72,169,838
73,172,603
74,175,51
75,175,660
76,175,673
77,176,592
78,179,763
79,180,32
80,180,227
81,191,0
82,191,191
83,192,661
84,192,840
85,193,677
86,194,218
87,194,618
88,198,780
89,199,827
90,201,608
91,203,0
92,203,694
93,210,64
94,208,116
95,210,676
96,211,659
97,212,700
98,214,100
99,215,6
100,216,50
101,218,84
102,218,609
103,223,686
104,226,703
105,230,611
106,231,831
107,232,55
108,234,651
109,238,372
110,239,709
111,243,45
112,250,691
113,258,377
114,259,615
115,262,967
116,267,343
117,278,373
118,278,944
119,279,913
120,282,1141
121,284,351
122,285,682
123,286,832
124,288,402
125,289,728
126,296,374
127,298,649
128,298,1158
129,300,869
130,302,348
131,302,536
132,304,418
133,304,715
134,305,332
135,305,949
136,306,1095
137,307,805
138,313,1044
139,314,1140
140,315,850
141,315,1230
142,319,378
143,319,880
144,321,578
145,322,346
146,323,322
147,323,1097
148,325,405
149,326,459
150,326,736
151,326,764
152,327,792
153,330,661
154,331,441
155,332,1120
156,335,920
157,337,354
158,338,1197
159,340,387
160,340,432
161,341,867
162,341,994
163,342,622
164,344,967
165,345,982
166,346,1015
167,350,758
168,350,946
169,352,1110
170,352,1179
171,353,1003
172,355,402
173,355,652
174,355,977
175,357,993
176,362,697
177,362,907
178,364,875
179,365,945
