RNA_Spot_ID,Y,X
1,33,1630
2,58,1518
3,68,1610
4,69,1622
5,72,1568
6,89,1630
7,92,1732
8,106,1611
9,110,1259
10,122,1610
11,133,1663
12,146,1607
13,155,1231
14,163,1646
15,179,1715
16,181,1638
17,187,1604
18,193,1522
19,202,1512
20,205,1702
21,221,1138
22,222,1516
23,228,1539
24,230,1579
25,241,1676
26,246,1658
27,249,1109
28,250,1629
29,257,1660
30,260,972
31,260,1711
32,261,1137
33,263,1084
34,267,1383
35,267,1549
36,271,1433
37,272,1398
38,272,1409
39,275,1609
40,276,1457
41,278,1365
42,280,1746
43,280,1097
44,286,1462
45,289,1369
46,290,1409
47,292,1640
48,300,1654
49,302,1620
50,308,1580
51,308,1600
52,309,1051
53,324,1724
54,327,1523
55,327,1743
56,328,1620
57,330,1348
58,334,1082
59,340,1335
60,349,1754
61,358,1463
62,359,1427
63,361,1645
64,364,1626
65,371,1247
66,373,1653
67,376,1711
68,377,1215
69,379,1397
70,380,1765
71,385,1117
72,387,1433
73,389,1317
74,389,1625
75,391,1210
76,395,1757
77,397,1472
78,400,1418
79,405,858
80,405,1387
81,405,1692
82,409,1412
83,410,1230
84,412,1278
85,412,1344
86,416,1756
87,417,1238
88,417,1425
89,423,1365
90,424,1224
91,430,1646
92,433,1194
93,434,1237
94,435,1303
95,444,1215
96,452,1241
97,464,1424
98,466,1228
99,468,861
100,468,1450
101,478,803
102,484,1733
103,485,1089
104,488,775
105,489,1297
106,497,881
107,511,1272
108,513,1235
109,515,819
110,515,1110
111,516,1391
112,520,577
113,521,999
114,522,781
115,524,1024
116,530,874
117,530,1430
118,536,785
119,540,1264
120,541,1143
121,546,808
122,546,1083
123,548,516
124,551,789
125,554,1207
126,555,593
127,558,546
128,560,824
129,562,1577
130,569,902
131,574,980
132,574,1140
133,576,630
134,579,929
135,579,1560
136,582,1103
137,585,1049
138,586,972
139,588,1228
140,595,941
141,598,1035
142,607,1202
143,610,888
144,609,984
145,609,1005
146,613,1128
147,614,577
148,614,908
149,615,946
150,618,881
151,623,1017
152,623,1104
153,625,1289
154,632,1128
155,633,1441
156,637,960
157,639,994
158,639,1299
159,641,1019
160,641,1340
161,646,1117
162,648,1365
163,649,376
164,650,392
165,653,1092
166,654,1376
167,657,508
168,657,961
169,657,988
170,659,1042
171,659,1404
172,666,1318
173,667,1079
174,668,1004
175,673,1255
176,674,983
177,675,910
178,676,964
179,676,1194
180,680,778
181,682,632
182,686,1228
183,687,580
184,688,1504
185,690,450
186,690,815
187,690,1315
188,691,805
189,694,1076
190,698,457
191,698,1250
192,700,887
193,702,793
194,702,1364
195,703,1137
196,704,871
197,704,1323
198,709,1048
199,710,925
200,710,1020
201,710,1063
202,711,412
203,711,1263
204,714,947
205,716,844
206,717,638
207,717,1237
208,719,1165
209,721,1198
210,723,854
211,723,1116
212,725,1143
213,725,802
214,727,710
215,727,789
216,729,1029
217,730,946
218,731,516
219,731,756
220,736,1255
221,737,533
222,739,700
223,742,774
224,742,1026
225,743,738
226,747,810
227,752,451
228,755,862
229,755,1040
230,757,736
231,757,905
232,759,697
233,760,596
234,762,893
235,762,945
236,766,965
237,772,586
238,772,825
239,772,929
240,773,720
241,773,737
242,774,564
243,777,806
244,778,755
245,778,1008
246,781,975
247,788,824
248,789,876
249,790,775
250,793,802
251,799,523
252,801,507
253,803,890
254,804,943
255,811,724
256,815,799
257,822,814
258,825,751
259,835,1155
260,839,611
261,841,632
262,856,724
263,856,1005
264,859,1028
265,863,1296
266,866,1328
267,867,773
268,868,615
269,869,1075
270,870,1173
271,872,707
272,872,744
273,872,1365
274,880,1267
275,882,763
276,885,834
277,885,1314
278,887,1156
279,887,1410
280,889,1251
281,894,907
282,898,676
283,899,830
284,901,1058
285,901,1378
286,902,690
287,903,1019
288,904,707
289,906,1217
290,909,521
291,910,1046
292,910,1362
293,911,919
294,914,977
295,917,657
296,917,889
297,920,697
298,920,723
299,920,905
300,920,1066
301,922,1340
302,922,1450
303,925,839
304,928,1086
305,930,828
306,932,890
307,932,1055
308,932,1070
309,932,1342
310,937,1444
311,939,804
312,940,1255
313,941,1318
314,942,917
315,942,939
316,944,859
317,948,696
318,948,906
319,949,748
320,950,790
321,952,1305
322,957,1293
323,959,842
324,960,919
325,960,964
326,961,1414
327,962,903
328,964,1172
329,973,1371
330,976,992
331,977,958
332,978,697
333,981,788
334,982,1470
335,984,1053
336,987,1074
337,988,1089
338,988,1392
339,989,621
340,990,811
341,990,1186
342,991,1039
343,991,1375
344,994,583
345,994,749
346,995,946
347,997,1232
348,998,1070
349,999,593
350,1002,622
351,1005,886
352,1006,713
353,1007,642
354,1007,1447
355,1010,908
356,1011,553
357,1011,926
358,1011,1072
359,1012,1028
360,1015,522
361,1015,1352
362,1017,1182
363,1017,1304
364,1018,599
365,1018,617
366,1022,882
367,1023,749
368,1023,934
369,1023,1400
370,1024,648
371,1025,567
372,1025,735
373,1025,950
374,1026,918
375,1030,1102
376,1034,1017
377,1036,1363
378,1036,1401
379,1037,599
380,1037,1126
381,1038,896
382,1039,626
383,1039,1173
384,1040,740
385,1041,646
386,1042,548
387,1044,1184
388,1047,1398
389,1049,1009
390,1050,833
391,1050,1375
392,1051,1063
393,1053,574
394,1055,1106
395,1056,602
396,1056,1041
397,1056,1093
398,1057,671
399,1058,970
400,1058,1135
401,1058,1252
402,1059,1312
403,1060,589
404,1062,622
405,1063,981
406,1065,646
407,1065,1367
408,1066,600
409,1069,1214
410,1070,1052
411,1073,1248
412,1073,1416
413,1074,1086
414,1076,549
415,1080,843
416,1081,596
417,1081,965
418,1081,1101
419,1082,979
420,1082,1194
421,1082,1401
422,1083,1128
423,1085,813
424,1086,885
425,1087,567
426,1089,986
427,1090,660
428,1091,1227
429,1092,1110
430,1093,644
431,1094,614
432,1095,1031
433,1098,1176
434,1099,793
435,1101,1243
436,1101,1273
437,1103,1414
438,1107,1263
439,1108,628
440,1111,1022
441,1114,1093
442,1118,1427
443,1120,910
444,1127,1094
445,1132,1265
446,1132,1420
447,1140,1367
448,1144,806
449,1146,971
450,1146,1085
451,1147,1391
452,1163,1070
453,1170,918
454,1170,971
455,1172,1071
456,1185,1294
457,1188,1003
458,1189,930
459,1191,1060
460,1199,1120
461,1201,1252
462,1211,1016
463,1216,1181
464,1219,990
465,1228,1190
466,1236,1004
467,1240,1119
468,1248,1285
469,1253,978
470,1254,1055
471,1254,1099
472,1266,537
473,1276,1041
474,1279,1224
475,1282,1013
476,1283,497
477,1284,554
478,1290,1098
479,1297,1119
480,1305,1059
481,1308,1826
482,1313,487
483,1314,501
484,1324,641
485,1327,603
486,1335,538
487,1384,570
488,1393,1112
489,1408,1110
490,1411,1166
491,1414,1177
492,1430,2038
493,1432,1110
494,1445,1189
495,1446,1179
496,1451,1985
497,1457,2018
498,1459,1125
499,1470,1108
500,1472,1993
501,1478,1197
502,1478,1974
503,1482,1040
504,1493,2014
505,1496,1979
506,1499,1994
507,1508,2040
508,1531,1277
509,1535,1224
510,1537,1298
511,1542,2047
512,1548,2002
513,1550,1271
514,1551,1304
515,1553,1253
516,1561,1219
517,1565,1988
518,1574,1249
519,1578,1926
520,1582,1214
521,1584,1706
522,1584,1846
523,1585,1197
524,1589,1975
525,1591,1263
526,1593,1839
527,1595,1236
528,1598,1899
529,1599,1921
530,1601,1196
531,1603,1253
532,1605,1870
533,1610,1228
534,1615,1886
535,1617,1202
536,1621,1221
537,1622,1237
538,1623,1852
539,1623,2002
540,1624,1213
541,1624,1973
542,1625,1959
543,1634,1213
544,1635,2002
545,1645,1860
546,1994,1384
547,2035,1340
