RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,33,1631,True,1222.0,12.7,371.586011342155,15.31626156478091,218.0438596491228,0.0,,,
2,58,1519,False,,,,,,,,,
3,70,1622,True,1029.0,18.0,443.6749256689792,2.444584548388705,430.3486842105263,1.0,1.0,1.0,0.0
4,72,1568,True,2758.0,12.2,677.9319470699432,18.174743230835368,349.38157894736844,0.0,,,
5,89,1630,True,1415.0,10.4,461.45888594164455,12.563323862186252,298.6995614035088,1.0,1.0,1.0,0.0
6,106,1611,True,1598.0,13.5,538.9592169657423,5.998113021105711,395.3421052631579,1.0,1.0,1.0,0.0
7,133,1663,True,4295.0,11.7,1038.37641723356,21.75289669977847,405.7872807017544,1.0,1.0,1.0,0.0
8,146,1607,True,1618.0,11.3,509.1428571428572,15.098517503366375,302.32894736842104,1.0,2.0,1.0,0.0
9,155,1231,False,,,,,,,,,
10,163,1646,True,2104.0,12.3,643.7769376181475,6.937325128120045,442.0701754385965,1.0,1.0,1.0,0.0
11,179,1715,True,2144.0,10.0,591.0157728706624,26.946610696842523,246.6798245614035,1.0,1.0,1.0,0.0
12,181,1638,True,2674.0,14.9,722.9788434414669,8.930351559302876,532.8969298245614,1.0,2.0,1.0,0.0
13,187,1604,True,3159.0,12.4,677.5349716446125,23.443420597438116,352.9627192982456,1.0,2.0,1.0,0.0
14,193,1522,True,2196.0,16.7,577.5482796892342,6.013134215532707,509.1798245614035,0.0,,,
15,205,1702,True,3665.0,13.9,970.8923327895596,11.75567477977988,509.1513157894737,1.0,1.0,1.0,0.0
16,222,1139,False,,,,,,,,,
17,228,1539,True,3527.0,13.5,975.8172920065252,12.268932297952082,596.344298245614,1.0,2.0,1.0,0.0
18,241,1676,True,1409.0,9.4,713.0694006309149,3.631845300244658,495.49780701754383,1.0,2.0,1.0,0.0
19,245,1659,True,3497.0,16.2,1089.6814650388458,4.31742131868195,954.1776315789474,1.0,2.0,1.0,0.0
20,249,1108,False,,,,,,,,,
21,251,1630,True,1212.0,10.4,466.6074270557029,10.201111157219716,320.8925438596491,1.0,2.0,1.0,0.0
22,257,1661,True,2309.0,21.0,856.4049526584122,1.591474632318008,1028.8859649122808,1.0,2.0,1.0,0.0
23,260,972,False,,,,,,,,,
24,260,1711,True,3199.0,12.6,845.1134215500945,11.184319308534716,478.1951754385965,1.0,1.0,1.0,0.0
25,262,1137,False,,,,,,,,,
26,263,1084,False,,,,,,,,,
27,267,1383,True,1432.0,14.3,629.5119887165021,2.609240523144708,516.8662280701755,1.0,3.0,1.0,0.0
28,267,1549,True,2393.0,13.7,702.0505709624796,11.510947816805276,405.9956140350877,1.0,2.0,1.0,0.0
29,271,1432,True,2594.0,11.1,947.2743764172336,11.112144740124414,547.8201754385965,1.0,3.0,1.0,0.0
30,272,1398,True,2333.0,13.9,1187.099510603589,1.7349499175445608,976.0723684210526,1.0,3.0,1.0,0.0
31,272,1409,True,3576.0,14.4,1196.808180535966,4.660401161787778,884.6666666666666,1.0,3.0,1.0,0.0
32,275,1609,True,3705.0,11.9,1024.111111111111,17.78456394461971,473.0504385964912,1.0,2.0,1.0,0.0
33,278,1365,True,1290.0,17.4,482.53518334985137,2.7543392448425914,477.3245614035088,1.0,3.0,1.0,0.0
34,280,1097,False,,,,,,,,,
35,287,1462,True,2961.0,16.9,846.542730299667,3.770501654361514,740.4254385964912,1.0,3.0,1.0,0.0
36,289,1369,True,2004.0,11.6,556.1020408163265,6.1431684727902764,396.7916666666667,1.0,3.0,1.0,0.0
37,290,1409,True,3540.0,9.5,1163.981072555205,7.402810444109808,640.2324561403509,1.0,3.0,1.0,0.0
38,292,1640,True,2953.0,12.2,845.2192816635161,11.516963054895047,565.8925438596491,1.0,2.0,1.0,0.0
39,300,1654,True,1859.0,10.2,552.9602122015915,3.811726935352776,450.39912280701753,1.0,2.0,1.0,0.0
40,302,1620,True,3552.0,10.8,1066.8620689655172,13.732067834446944,612.1184210526316,1.0,2.0,1.0,0.0
41,308,1601,True,3533.0,12.9,1194.750472589792,8.199950584973896,775.1206140350877,1.0,2.0,1.0,0.0
42,309,1052,False,,,,,,,,,
43,324,1724,True,2035.0,13.2,707.1092985318107,8.236292888306737,465.2324561403509,1.0,4.0,1.0,0.0
44,327,1523,False,,,,,,,,,
45,327,1620,True,2114.0,14.5,663.392101551481,6.874014177693008,496.5745614035088,0.0,,,
