Cell_ID,Keep,counts,count_nuclei,count_cyto,pol_ind,disp_ind,per_dist_ind,coloc_HOXC8_HOXA10
1,True,0.0,0,0.0,,,,0.0
2,True,1.0,1,0.0,0.4239498654345887,0.0,0.1836911213973313,1.0
3,True,0.0,0,0.0,,,,0.0
4,True,0.0,0,0.0,,,,0.0
5,True,1.0,1,0.0,1.4547416115790217,0.0,2.095233706103791,1.0
6,True,0.0,0,0.0,,,,0.0
7,True,0.0,0,0.0,,,,0.0
8,True,0.0,0,0.0,,,,0.0
9,True,2.0,2,0.0,0.6601438405365823,0.1765678976638711,0.6752901767543755,1.0
10,True,1.0,1,0.0,0.951054319719108,0.0,0.8081701174569269,1.0
11,True,1.0,1,0.0,0.6479852363442816,0.0,0.4629434445135417,1.0
12,True,0.0,0,0.0,,,,0.0
13,True,1.0,1,0.0,1.6025198599280008,0.0,2.667992860012877,0.0
14,True,0.0,0,0.0,,,,0.0
15,True,1.0,1,0.0,0.8457263333626659,0.0,0.7854977578739011,1.0
16,True,0.0,0,0.0,,,,0.0
17,True,1.0,1,0.0,0.992976200536852,0.0,1.036636029779175,1.0
18,True,1.0,1,0.0,0.8734157135722854,0.0,0.7665981261204055,1.0
19,True,0.0,0,0.0,,,,0.0
20,False,0.0,0,0.0,,,,
21,False,0.0,0,0.0,,,,
22,True,1.0,1,0.0,0.811775763511869,0.0,0.6623067699989243,1.0
23,True,1.0,1,0.0,0.2333189630878432,0.0,0.0682393352630135,1.0
24,True,1.0,1,0.0,0.915914023739838,0.0,0.936686427229898,1.0
25,True,1.0,1,0.0,0.4372849906605406,0.0,0.1940302398648483,1.0
26,True,1.0,1,0.0,0.9047142501463284,0.0,0.8770880676881356,1.0
27,True,0.0,0,0.0,,,,0.0
28,True,1.0,1,0.0,1.2828493268967358,0.0,1.7418500909470604,0.0
29,False,0.0,0,0.0,,,,
30,True,0.0,0,0.0,,,,0.0
31,False,0.0,0,0.0,,,,
32,True,0.0,0,0.0,,,,0.0
33,True,3.0,3,0.0,0.5463983082369113,0.2939640957976964,0.7462298086281277,1.0
34,True,0.0,0,0.0,,,,0.0
35,False,0.0,0,0.0,,,,
36,True,0.0,0,0.0,,,,0.0
37,True,0.0,0,0.0,,,,0.0
38,True,0.0,0,0.0,,,,0.0
39,True,0.0,0,0.0,,,,0.0
40,True,0.0,0,0.0,,,,0.0
41,True,0.0,0,0.0,,,,0.0
42,True,0.0,0,0.0,,,,0.0
43,True,0.0,0,0.0,,,,0.0
44,False,0.0,0,0.0,,,,
45,False,0.0,0,0.0,,,,
46,True,1.0,1,0.0,0.9285202120362458,0.0,0.9264591994871854,1.0
47,True,0.0,0,0.0,,,,0.0
48,True,0.0,0,0.0,,,,0.0
49,True,0.0,0,0.0,,,,0.0
50,True,0.0,0,0.0,,,,0.0
51,True,0.0,0,0.0,,,,0.0
52,False,0.0,0,0.0,,,,
53,True,1.0,1,0.0,0.3997787802276567,0.0,0.162923961328144,1.0
54,True,0.0,0,0.0,,,,0.0
55,False,0.0,0,0.0,,,,
56,False,0.0,0,0.0,,,,
57,True,1.0,1,0.0,0.5646211998899581,0.0,0.3218205361209171,1.0
58,True,3.0,3,0.0,0.6677538182370772,0.7911076375724464,1.4871077034436633,1.0
59,False,0.0,0,0.0,,,,
60,True,1.0,1,0.0,1.232545828960994,0.0,1.599550465400496,1.0
61,True,1.0,1,0.0,0.1492558385620234,0.0,0.0227593753181284,0.0
62,True,0.0,0,0.0,,,,0.0
63,True,2.0,2,0.0,0.6832658019344853,0.0722765855575158,0.5526067111437145,1.0
64,True,1.0,1,0.0,0.8459240159233886,0.0,0.7491144003432315,1.0
65,True,0.0,0,0.0,,,,0.0
66,False,0.0,0,0.0,,,,
67,True,0.0,0,0.0,,,,0.0
68,False,0.0,0,0.0,,,,
69,True,0.0,0,0.0,,,,0.0
70,True,1.0,1,0.0,0.7004993593333801,0.0,0.4413009348413464,1.0
71,True,0.0,0,0.0,,,,0.0
72,True,0.0,0,0.0,,,,0.0
73,True,0.0,0,0.0,,,,0.0
74,False,0.0,0,0.0,,,,
75,True,0.0,0,0.0,,,,0.0
76,True,0.0,0,0.0,,,,0.0
77,False,0.0,0,0.0,,,,
