RNA_Spot_ID,Y,X
1,483,1193
2,487,1203
3,495,811
4,503,1193
5,524,1191
6,545,1145
7,554,1256
8,569,1214
9,579,736
10,579,1207
11,597,1067
12,605,817
13,621,1365
14,641,832
15,642,1147
16,663,1234
17,713,1231
18,719,741
19,733,679
20,741,892
21,745,999
22,769,917
23,770,994
24,772,667
25,778,1232
26,781,1144
27,791,930
28,793,950
29,793,827
30,804,2027
31,817,1050
32,818,928
33,824,589
34,841,1047
35,847,862
36,846,962
37,855,732
38,866,860
39,867,2015
40,873,935
41,875,2045
42,877,1011
43,892,1242
44,892,839
45,895,767
46,905,653
47,905,806
48,940,2028
49,942,2040
50,946,748
51,949,1000
52,954,1530
53,964,1045
54,967,871
55,967,2046
56,969,1068
57,986,1308
58,988,1025
59,988,1099
60,990,992
61,998,795
62,1001,1011
63,1022,912
64,1024,759
65,1025,954
66,1029,1050
67,1030,1575
68,1031,1682
69,1032,1074
70,1039,636
71,1041,1688
72,1047,2044
73,1058,709
74,1059,1356
75,1063,1362
76,1072,638
77,1076,2025
78,1076,1400
79,1077,1610
80,1077,983
81,1078,616
82,1079,1433
83,1085,823
84,1089,1544
85,1095,1470
86,1096,953
87,1096,1690
88,1101,1585
89,1103,1412
90,1103,1723
91,1107,876
92,1107,1357
93,1113,912
94,1113,890
95,1114,1440
96,1118,1052
97,1119,1110
98,1150,1547
99,1150,995
100,1151,1022
101,1152,826
102,1152,1181
103,1160,762
104,1160,1028
105,1160,1160
106,1171,1576
107,1176,994
108,1183,745
109,1185,1375
110,1185,1276
111,1186,1721
112,1188,1051
113,1194,794
114,1198,1681
115,1207,692
116,1207,1464
117,1210,1075
118,1213,1469
119,1215,785
120,1217,661
121,1222,1094
122,1223,1332
123,1225,938
124,1230,728
125,1232,801
126,1232,1540
127,1235,1150
128,1235,1226
129,1237,1403
130,1238,1644
131,1241,1299
132,1243,781
133,1243,1484
134,1245,1321
135,1250,1448
136,1258,1438
137,1259,1182
138,1259,1416
139,1261,1108
140,1266,675
141,1266,1314
142,1268,711
143,1279,1133
144,1293,929
145,1295,654
146,1296,1037
147,1297,1470
148,1301,1270
149,1305,1102
150,1305,1136
151,1306,1523
152,1310,1592
153,1312,1213
154,1315,1324
155,1318,1289
156,1324,1070
157,1326,1205
158,1326,937
159,1326,1222
160,1327,1485
161,1333,1501
162,1338,954
163,1341,1144
164,1342,1235
165,1343,1115
166,1345,1367
167,1348,1162
168,1352,1495
169,1356,1078
170,1359,1608
171,1360,969
172,1362,1156
173,1365,1013
174,1374,1104
175,1381,1050
176,1385,1109
177,1385,1471
178,1388,1426
179,1392,1052
180,1394,1387
181,1395,1268
182,1399,1195
183,1403,1074
184,1413,1115
185,1418,1590
186,1422,1072
187,1422,1019
188,1425,1267
189,1446,1237
190,1447,1104
191,1457,1040
192,1470,1484
193,1485,1039
194,1503,1159
195,1575,1156
196,1581,922
197,1590,872
198,1596,914
199,1739,896
200,1749,1004
201,1749,849
202,1784,976
203,1790,987
204,1796,885
205,1826,993
206,1833,873
207,1841,726
208,1845,854
209,1848,993
210,1851,1132
211,1857,839
212,1858,819
213,1861,691
214,1866,786
215,1869,1027
216,1873,697
217,1876,777
218,1885,818
219,1886,1036
220,1887,1139
221,1890,767
222,1893,886
223,1901,1011
224,1903,840
225,1906,992
226,1916,806
227,1930,889
228,1929,1002
229,1937,866
230,1951,937
231,1951,843
232,1955,904
233,1960,980
234,1962,856
235,1968,1130
236,1970,242
237,1980,863
238,1988,812
239,1990,264
240,2001,826
241,2009,880
242,2030,741
243,2036,736
244,2046,805
245,2047,970
246,2047,999
