RNA_Spot_ID,Y,X
1,324,24
2,386,1406
3,404,1341
4,430,1134
5,446,1348
6,479,1262
7,559,1065
8,574,1295
9,673,1476
10,689,1223
11,705,986
12,710,1055
13,719,1081
14,741,1079
15,741,1096
16,744,973
17,750,1233
18,776,1030
19,778,1354
20,786,1362
21,795,1348
22,796,887
23,797,1101
24,808,1371
25,816,1143
26,862,24
27,863,904
28,864,59
29,868,1411
30,879,1405
31,887,1474
32,893,1087
33,905,1411
34,912,1319
35,922,801
36,922,1162
37,928,934
38,939,1236
39,947,1284
40,948,1129
41,954,1187
42,961,1250
43,965,1202
44,978,1404
45,982,138
46,997,1353
47,997,1370
48,998,783
49,1001,1142
50,1005,111
51,1018,910
52,1017,1140
53,1035,180
54,1064,848
55,1074,1313
56,1147,891
57,1230,12
58,1240,2
59,1430,1255
60,1572,1838
61,1730,799
62,1770,1974
63,1783,1996
64,1785,1943
65,1806,1909
66,1815,772
67,1825,722
68,1829,2019
69,1844,1906
70,1852,825
71,1865,777
72,1874,591
73,1884,832
74,1903,2030
75,1908,918
76,1923,798
77,1924,820
78,1926,896
79,1941,1135
80,1943,774
81,2004,960
82,2004,839
83,2023,898
84,2046,614
