RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,483,1194,True,446.0,10.9,71408.0,5.501329309058033,155.3684210526316,1.0,2.0,1.0,0.0
2,487,1203,True,399.0,8.8,49551.0,3.761926519427241,161.10087719298247,1.0,2.0,1.0,0.0
3,491,1106,True,182.0,8.5,37962.0,3.956905003365886,129.51754385964912,1.0,2.0,1.0,0.0
4,492,780,True,260.0,9.0,39460.0,10.829949681348513,126.93201754385964,1.0,5.0,1.0,0.0
5,495,811,True,518.0,7.1,35335.0,30.28244666892301,128.12061403508773,1.0,5.0,1.0,0.0
6,503,1194,True,707.0,8.6,63773.0,29.75338139638745,145.7017543859649,1.0,2.0,1.0,0.0
7,512,1110,True,235.0,11.3,62864.0,7.991107149293432,130.95394736842104,1.0,2.0,1.0,0.0
8,524,1192,True,566.0,7.7,37834.0,29.760434068746225,133.68640350877192,1.0,2.0,1.0,0.0
9,545,1146,True,370.0,9.3,52194.0,17.445586339096305,134.4078947368421,1.0,2.0,1.0,0.0
10,546,1198,True,220.0,9.2,45370.0,7.17024293216738,130.1030701754386,1.0,2.0,1.0,0.0
11,555,1257,True,900.0,9.6,72290.0,40.47691792072172,139.66447368421052,1.0,6.0,1.0,0.0
12,566,742,True,306.0,7.4,30424.0,3.0903142761176547,139.265350877193,1.0,5.0,1.0,0.0
13,570,1067,True,355.0,8.2,40769.0,15.675206767729966,134.61622807017545,1.0,7.0,1.0,0.0
14,570,1214,True,496.0,8.600000000000001,46187.0,6.861074366268772,151.66008771929825,1.0,6.0,1.0,0.0
15,579,736,True,622.0,7.699999999999999,40916.0,20.70777364310524,131.72368421052633,1.0,5.0,1.0,0.0
16,579,1208,True,447.0,8.600000000000001,46232.0,4.576761120483555,164.55701754385964,1.0,6.0,1.0,0.0
17,590,1212,True,325.0,10.6,60779.0,3.645992975238942,149.79605263157896,1.0,6.0,1.0,0.0
18,598,1067,True,340.0,6.800000000000001,28650.0,12.92170434120409,138.9232456140351,1.0,7.0,1.0,0.0
19,606,817,True,484.0,7.6,38305.0,25.59068193883525,132.67105263157896,1.0,5.0,1.0,0.0
20,613,1420,True,227.0,10.9,51564.0,8.029089298335581,124.98026315789474,0.0,,,
21,614,1102,True,314.0,9.0,40122.0,12.800303614950783,135.87938596491227,1.0,7.0,1.0,0.0
22,622,1366,True,482.0,9.9,64333.0,20.485712585683764,142.38815789473685,1.0,6.0,1.0,0.0
23,626,867,True,212.0,7.4,29822.0,6.019670583748031,133.75877192982455,1.0,5.0,1.0,0.0
24,642,832,True,374.0,8.5,45440.0,16.351423500324984,137.49122807017545,1.0,5.0,1.0,0.0
25,642,1148,True,326.0,8.4,44357.0,11.415933537121868,140.94078947368422,1.0,6.0,0.0,1.0
26,663,1235,True,326.0,10.3,62099.0,12.45315055043862,140.26315789473685,1.0,6.0,1.0,0.0
27,664,1088,True,309.0,9.4,53093.0,9.703591857355663,143.2609649122807,1.0,7.0,0.0,1.0
28,713,1232,True,820.0,8.1,62355.0,37.9333052105446,141.5219298245614,1.0,6.0,1.0,0.0
29,720,741,True,521.0,9.1,62406.0,25.72815141766448,134.8969298245614,1.0,9.0,1.0,0.0
30,727,1932,False,,,,,,,,,
31,734,680,True,662.0,7.1,40692.0,28.91564464290801,144.31798245614036,1.0,10.0,0.0,1.0
32,742,757,True,312.0,7.699999999999999,30585.0,13.024222916450556,133.70833333333334,1.0,9.0,1.0,0.0
33,742,892,True,378.0,8.0,35635.0,16.87338695765761,133.50438596491227,1.0,9.0,1.0,0.0
34,745,1000,True,935.0,7.5,49593.0,52.9607490513541,140.54605263157896,1.0,7.0,1.0,0.0
35,748,1468,False,,,,,,,,,
36,754,1350,True,343.0,6.800000000000001,23231.0,16.85791870186856,127.44736842105264,1.0,13.0,0.0,1.0
37,755,1522,False,,,,,,,,,
38,769,917,True,426.0,7.7,34628.0,21.499049597432307,136.41228070175438,1.0,9.0,1.0,0.0
39,771,994,True,543.0,8.0,39374.0,26.32686596939392,140.94736842105263,1.0,11.0,1.0,0.0
40,773,668,True,725.0,6.5,34509.0,39.1779495587159,139.01754385964912,1.0,10.0,1.0,0.0
41,775,729,True,341.0,7.699999999999999,32840.0,13.508685926783462,136.8311403508772,1.0,9.0,1.0,0.0
42,778,1232,True,615.0,9.5,71195.0,23.174311133902204,154.0767543859649,1.0,12.0,1.0,0.0
43,779,1992,False,,,,,,,,,
44,781,1144,True,1420.0,8.600000000000001,94019.0,32.0384250118529,173.4671052631579,1.0,12.0,1.0,0.0
45,787,1310,True,253.0,1.25,2492.0,8.86911593337164,134.7609649122807,1.0,13.0,1.0,0.0
46,789,565,True,246.0,7.300000000000001,28689.0,8.693786287010544,130.5767543859649,0.0,,,
47,791,1540,False,,,,,,,,,
48,792,930,True,692.0,8.2,55112.0,33.25336217641865,145.2565789473684,1.0,11.0,1.0,0.0
49,794,828,True,338.0,7.199999999999999,35823.0,15.248076753143506,136.23026315789474,1.0,9.0,1.0,0.0
50,794,950,True,550.0,8.3,50404.0,27.00231573230655,144.70833333333334,1.0,11.0,1.0,0.0
51,804,2027,False,,,,,,,,,
52,817,1050,False,,,,,,,,,
53,818,927,True,1469.0,9.3,136165.0,17.878841699053783,181.640350877193,1.0,11.0,1.0,0.0
54,824,589,True,958.0,6.300000000000001,37840.0,51.246186918530206,146.7938596491228,0.0,,,
55,824,2002,False,,,,,,,,,
56,831,961,True,345.0,13.3,101052.0,10.850732439592116,155.21491228070175,1.0,11.0,1.0,0.0
57,836,517,False,,,,,,,,,
58,838,1402,True,300.0,8.8,39284.0,11.858371454390086,137.43640350877192,1.0,13.0,1.0,0.0
59,841,1047,True,1288.0,6.9,52239.0,65.23669242579018,148.69736842105263,1.0,11.0,1.0,0.0
60,847,862,True,645.0,7.9,45551.0,34.34844846602526,144.08991228070175,1.0,9.0,1.0,0.0
61,847,963,True,566.0,6.699999999999999,30523.0,22.73807588541328,154.4934210526316,1.0,11.0,1.0,0.0
62,852,675,True,374.0,7.1,31718.0,15.943724064084256,140.91008771929825,0.0,,,
63,856,732,True,610.0,8.5,58045.0,31.673940124508714,136.8640350877193,1.0,15.0,1.0,0.0
64,856,1504,False,,,,,,,,,
65,867,861,True,430.0,6.0,24577.0,19.70758429614242,140.46271929824562,1.0,9.0,0.0,1.0
66,867,2016,False,,,,,,,,,
67,868,2037,False,,,,,,,,,
68,873,935,True,780.0,7.0,43368.0,39.03768138200302,148.5767543859649,1.0,11.0,1.0,0.0
69,875,2044,False,,,,,,,,,
70,877,1011,True,909.0,7.0,37845.0,51.69483265626609,144.24122807017545,1.0,11.0,1.0,0.0
71,892,1242,True,630.0,7.5,41608.0,29.16012142300632,147.41008771929825,1.0,12.0,1.0,0.0
72,893,839,True,432.0,9.3,53037.0,19.7018821098279,143.17763157894737,1.0,15.0,1.0,0.0
73,896,767,True,982.0,9.1,81793.0,41.302934868300845,150.81578947368422,1.0,15.0,1.0,0.0
74,905,653,True,404.0,8.9,47301.0,20.165653682388832,137.62719298245614,1.0,15.0,1.0,0.0
75,906,731,True,272.0,10.9,58088.0,8.9963293245542,140.68201754385964,1.0,15.0,1.0,0.0
76,906,806,True,786.0,7.6,50305.0,39.77269788177702,145.7719298245614,1.0,15.0,1.0,0.0
77,924,2006,False,,,,,,,,,
78,926,1133,True,448.0,8.4,41098.0,20.550106024796857,145.85087719298247,1.0,18.0,1.0,0.0
79,935,1483,True,301.0,8.2,38876.0,12.748643213727965,133.2434210526316,0.0,,,
80,940,2029,False,,,,,,,,,
