RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,111,722,False,,,,,,,,,
2,290,1064,False,,,,,,,,,
3,325,24,False,,,,,,,,,
4,386,1406,True,444.0,8.3,42319.0,24.13976851396857,125.96710526315788,1.0,2.0,1.0,0.0
5,389,1307,True,192.0,8.6,36599.0,4.130777836742316,128.03508771929825,1.0,1.0,1.0,0.0
6,402,1360,True,197.0,9.8,45094.0,4.008278121482819,133.13377192982455,1.0,2.0,1.0,0.0
7,404,1341,True,681.0,8.0,47065.0,34.48848374063695,135.5482456140351,1.0,2.0,1.0,0.0
8,409,1283,True,273.0,5.3,16747.0,11.468700536704544,127.6469298245614,1.0,1.0,1.0,0.0
9,431,1135,True,680.0,8.5,46086.0,41.59414370888006,129.12938596491227,1.0,4.0,0.0,1.0
10,434,1172,True,218.0,14.4,94414.0,6.682817002376881,128.6315789473684,1.0,1.0,1.0,0.0
11,446,1349,True,284.0,9.6,48977.0,11.440870379492472,130.3530701754386,1.0,2.0,1.0,0.0
12,451,946,False,,,,,,,,,
13,464,1190,True,202.0,3.3,7604.0,5.845825480959558,127.31140350877192,1.0,1.0,1.0,0.0
14,479,1263,True,359.0,9.2,48816.0,17.599247230326274,127.04605263157896,1.0,1.0,1.0,0.0
15,484,1147,True,194.0,14.1,103025.0,3.435890187640694,138.7565789473684,1.0,4.0,1.0,0.0
16,516,1121,True,231.0,4.15,12416.0,7.771389399167747,130.4780701754386,1.0,4.0,1.0,0.0
17,559,1065,True,326.0,8.0,32066.0,14.370851956260472,131.60526315789474,1.0,4.0,1.0,0.0
18,574,1295,True,605.0,6.699999999999999,31871.0,33.08031191381469,129.12938596491227,1.0,8.0,1.0,0.0
19,575,1373,True,224.0,5.9,16521.0,6.755931815072544,128.21271929824562,0.0,,,
20,588,1862,False,,,,,,,,,
21,600,884,True,240.0,5.1,15545.0,7.560361656913238,127.9561403508772,1.0,10.0,1.0,0.0
22,614,897,True,270.0,7.5,28919.0,10.8849354580436,130.84868421052633,1.0,10.0,1.0,0.0
23,616,1104,True,247.0,8.3,34976.0,10.007924629466462,124.83771929824562,0.0,,,
24,630,1209,True,219.0,16.2,128705.0,4.372387826133008,138.6469298245614,1.0,8.0,1.0,0.0
25,642,897,True,283.0,8.2,38678.0,12.03254972787717,132.87719298245614,1.0,10.0,1.0,0.0
26,649,935,True,265.0,8.0,29398.0,9.50328369291395,132.17105263157896,1.0,10.0,1.0,0.0
27,673,1476,False,,,,,,,,,
28,677,1021,True,285.0,10.3,55252.0,10.206371063847026,133.42543859649123,1.0,9.0,1.0,0.0
29,689,1039,True,209.0,2.8,5342.0,5.374112716734412,134.85526315789474,1.0,9.0,1.0,0.0
30,690,1223,True,675.0,8.1,48603.0,38.11660207041309,130.70833333333334,1.0,8.0,0.0,1.0
31,695,1107,True,275.0,9.9,46123.0,10.80365795894155,129.04166666666666,1.0,13.0,1.0,0.0
32,705,987,True,376.0,7.3,32624.0,19.475151637373635,128.49122807017545,1.0,9.0,1.0,0.0
33,711,1055,True,326.0,9.2,49569.0,14.132056239168458,131.49780701754386,1.0,13.0,1.0,0.0
34,719,1081,True,282.0,9.8,47879.0,10.31075960540372,133.19078947368422,1.0,13.0,1.0,0.0
35,736,1059,True,249.0,6.35,22146.0,6.81699944419343,133.5109649122807,1.0,13.0,1.0,0.0
36,741,1080,True,592.0,5.5,25658.0,33.80893352675275,134.9561403508772,1.0,13.0,1.0,0.0
37,741,1096,True,379.0,6.05,25453.0,18.45476102377327,132.12938596491227,1.0,13.0,1.0,0.0
38,742,1051,True,237.0,2.55,4832.0,5.339652878934141,133.0811403508772,1.0,13.0,1.0,0.0
39,745,973,True,876.0,8.8,70160.0,38.89760937214233,137.3640350877193,0.0,,,
40,750,1233,True,554.0,12.0,96740.0,15.071226866988704,151.77412280701753,1.0,15.0,1.0,0.0
41,769,1238,True,241.0,2.5,5712.0,4.9843658191773,141.46271929824562,1.0,15.0,1.0,0.0
42,773,1041,True,462.0,8.3,48226.0,1.4888811704345548,203.96052631578948,1.0,13.0,1.0,0.0
43,775,71,True,174.0,3.25,6877.0,5.882596162723832,113.19298245614036,0.0,,,
44,776,1030,True,1083.0,9.6,91092.0,18.008055841673237,165.29166666666666,1.0,13.0,1.0,0.0
45,778,1354,True,950.0,11.0,90918.0,7.5002604872036285,190.71491228070172,0.0,,,
46,782,1348,True,535.0,10.4,88850.0,3.413165298588115,191.8201754385965,0.0,,,
47,786,1362,True,716.0,8.7,58045.0,4.21822424013345,194.7719298245614,0.0,,,
48,788,1038,True,384.0,8.5,43270.0,1.4257209945192788,187.1271929824561,1.0,13.0,1.0,0.0
49,795,1348,True,629.0,6.9,36332.0,8.732678426372924,166.02412280701753,0.0,,,
50,796,887,True,390.0,7.6,32307.0,20.702691537324323,129.3267543859649,1.0,10.0,1.0,0.0
51,798,1102,True,434.0,8.8,47086.0,13.594367078222188,146.1732456140351,1.0,13.0,1.0,0.0
52,801,1110,True,246.0,21.0,202284.0,1.9843616730043967,157.3684210526316,1.0,13.0,1.0,0.0
53,803,1330,True,237.0,15.4,117718.0,5.355008988506231,145.08991228070175,1.0,21.0,1.0,0.0
54,805,1152,True,320.0,8.5,39650.0,1.7107418341438332,163.86184210526315,1.0,13.0,1.0,0.0
55,808,1371,True,499.0,7.3,37231.0,26.043749748388876,139.83771929824562,1.0,21.0,0.0,1.0
56,817,1143,True,734.0,9.1,72594.0,15.01220502371483,160.21052631578948,1.0,13.0,1.0,0.0
57,819,50,True,194.0,9.2,39926.0,7.391515569292885,116.90350877192982,1.0,16.0,1.0,0.0
58,819,1137,True,402.0,9.4,71950.0,3.161752602284503,166.85526315789474,1.0,13.0,1.0,0.0
59,828,1122,True,196.0,2.1,5060.0,2.0421196622718583,145.27631578947367,1.0,13.0,1.0,0.0
60,860,118,True,179.0,4.15,11753.0,5.200265237361666,121.0109649122807,0.0,,,
61,863,24,True,499.0,10.1,64642.0,27.022720120761964,128.20833333333334,1.0,16.0,1.0,0.0
