RNA_Spot_ID,Y,X
1,39,1156
2,53,1345
3,54,1389
4,62,1297
5,71,1273
6,94,1366
7,107,1340
8,108,1272
9,116,1280
10,122,1043
11,145,1057
12,148,1348
13,156,1448
14,177,1474
15,178,1487
16,185,1428
17,211,1008
18,219,1283
19,235,836
20,239,1244
21,240,776
22,243,723
23,249,1466
24,261,1423
25,263,1380
26,268,752
27,268,1351
28,270,1400
29,279,1446
30,280,939
31,280,1412
32,291,1431
33,295,1383
34,296,1477
35,308,1148
36,309,1282
37,313,1567
38,322,1218
39,328,758
40,339,1603
41,340,1284
42,347,884
43,355,1007
44,359,1260
45,362,1208
46,363,1574
47,364,686
48,364,913
49,364,1602
50,365,1479
51,369,672
52,373,957
53,375,942
54,377,1525
55,384,750
56,387,1352
57,394,1414
58,397,1520
59,398,1040
60,399,1474
61,404,1747
62,422,1757
63,423,1519
64,426,896
65,428,1426
66,430,756
67,430,1601
68,435,1751
69,441,1164
70,452,662
71,452,756
72,452,953
73,454,1000
74,455,1699
75,458,740
76,462,1228
77,466,716
78,472,1387
79,475,1218
80,476,1749
81,480,1409
82,491,1229
83,493,653
84,494,1203
85,499,1525
86,502,729
87,502,1472
88,503,1665
89,508,1622
90,508,1639
91,511,673
92,512,744
93,518,1706
94,519,1121
95,520,1766
96,526,704
97,536,1454
98,548,1288
99,551,1738
100,552,1546
101,556,1303
102,562,1435
103,562,1700
104,566,1202
105,569,638
106,569,797
107,572,1329
108,576,777
109,576,1090
110,576,1422
111,582,747
112,586,698
113,587,1281
114,594,1153
115,597,1318
116,601,1607
117,603,998
118,612,1698
119,613,1258
120,615,1375
121,616,1588
122,620,1540
123,624,1626
124,626,933
125,634,1216
126,636,1326
127,638,1527
128,641,1273
129,644,1438
130,645,742
131,645,1100
132,648,1681
133,649,1699
134,651,853
135,652,1602
136,656,719
137,656,1329
138,657,870
139,657,1165
140,658,1308
141,658,1736
142,659,1000
143,662,1579
144,664,1496
145,665,1627
146,665,1696
147,666,1663
148,667,1605
149,670,1643
150,671,1683
151,672,483
152,676,871
153,677,1569
154,678,769
155,678,1304
156,679,823
157,683,1674
158,686,890
159,686,1373
160,686,1606
161,686,1785
162,688,1709
163,689,1299
164,691,1678
165,694,1229
166,695,811
167,697,1456
168,699,1215
169,699,1607
170,703,762
171,704,403
172,704,960
173,705,1744
174,705,911
175,710,1292
176,713,889
177,714,831
178,721,1132
179,721,1626
180,728,417
181,728,1567
182,728,1663
183,732,890
184,731,1776
185,732,1702
186,733,1111
187,737,1229
188,738,1282
189,740,933
190,740,1643
191,741,1159
192,741,1655
193,742,1435
194,746,1485
195,751,1691
196,752,1418
197,753,1425
198,754,1600
199,758,547
200,760,1574
201,762,1682
202,769,1657
203,781,1212
204,782,1486
205,786,1437
206,786,1772
207,787,1686
208,787,1697
209,796,1445
210,796,1493
211,812,1522
212,821,1665
213,822,1483
214,823,1100
215,827,630
216,827,1173
217,828,380
218,831,1515
219,834,1666
220,839,1574
221,840,1676
222,841,1195
223,844,1080
224,852,1559
225,853,1656
226,854,1761
227,864,1597
228,866,768
229,867,1231
230,872,1393
231,877,780
232,887,421
233,889,736
234,889,1608
235,892,883
236,893,1535
237,893,1759
238,895,1429
239,898,810
240,898,1459
241,900,796
242,908,1530
243,912,856
244,912,1725
245,923,1584
246,927,1712
247,928,1292
248,936,1535
249,948,915
250,948,970
251,950,1101
252,951,769
253,952,1417
254,956,819
255,956,1040
256,960,1122
257,961,1524
258,964,1001
259,964,1561
260,966,1774
261,972,939
262,974,1572
263,975,1653
264,977,432
265,984,1554
266,986,1053
267,992,1268
268,993,1422
269,995,1141
270,998,1039
271,1001,1199
272,1007,1159
273,1010,936
274,1011,1171
275,1013,1441
276,1013,1464
277,1014,1200
278,1016,1725
279,1017,1421
280,1018,1391
281,1019,948
282,1023,404
283,1023,447
284,1023,1099
285,1024,1555
286,1027,1053
287,1029,1135
288,1029,1159
289,1029,1333
290,1030,1064
291,1032,1284
292,1033,518
293,1033,1440
294,1034,1020
295,1034,1210
296,1035,1687
297,1038,1148
298,1042,506
299,1042,1042
300,1043,942
301,1046,1504
302,1048,1261
303,1049,1058
304,1052,1066
305,1052,1170
306,1053,1199
307,1057,465
308,1059,1213
309,1064,1235
310,1065,1193
311,1066,1080
312,1066,1531
313,1067,535
314,1067,1001
315,1070,1258
316,1071,1563
317,1072,1218
318,1073,1332
319,1073,1629
320,1078,1049
321,1080,961
322,1081,1459
323,1082,1491
324,1083,947
325,1085,469
326,1085,1229
327,1087,1204
328,1089,1278
329,1090,1006
330,1091,942
331,1093,1224
332,1094,1298
333,1098,1242
334,1100,996
335,1100,1202
336,1101,981
337,1104,636
338,1107,1520
339,1110,1181
340,1111,474
341,1113,1130
342,1114,1276
343,1115,1163
344,1115,1637
345,1117,416
346,1117,1002
347,1117,1662
348,1123,700
349,1123,1222
350,1125,1040
351,1129,443
352,1129,1695
353,1133,605
354,1133,1146
355,1135,1240
356,1150,401
357,1152,449
358,1152,977
359,1156,1013
360,1157,502
361,1157,683
362,1157,1565
363,1160,1330
364,1161,587
365,1161,1210
366,1162,516
367,1164,1030
368,1167,1604
369,1169,1059
370,1170,1142
371,1171,1264
372,1172,475
373,1179,1317
374,1179,1344
375,1180,1063
376,1182,568
377,1182,941
378,1184,1080
379,1186,540
380,1186,1537
381,1191,974
382,1192,1068
383,1192,1199
384,1193,494
385,1194,434
386,1196,1579
387,1199,949
388,1199,1334
389,1200,735
390,1200,1395
391,1202,1304
392,1212,727
393,1213,1141
394,1215,1381
395,1215,1409
396,1217,558
397,1218,1047
398,1220,744
399,1220,1455
400,1221,1173
401,1222,1627
402,1226,1338
403,1227,1228
404,1228,1420
405,1229,1399
406,1230,1365
407,1230,1454
408,1233,1310
409,1234,1034
410,1235,985
411,1235,1192
412,1236,1555
413,1237,1165
414,1246,1325
415,1247,554
416,1247,1354
417,1250,1038
418,1251,502
419,1252,905
420,1252,1305
421,1253,755
422,1253,1275
423,1253,1293
424,1255,581
425,1256,467
426,1261,1017
427,1262,1459
428,1263,560
429,1265,530
430,1266,603
431,1269,1345
432,1271,1552
433,1275,1020
434,1275,1447
435,1281,1259
436,1281,1438
437,1285,1399
438,1286,583
439,1291,1185
440,1293,1045
441,1295,1366
442,1298,1069
443,1299,1658
444,1302,982
445,1302,1399
446,1304,1378
447,1305,805
448,1307,1024
449,1308,931
450,1309,1612
451,1311,1255
452,1312,1167
453,1313,1390
454,1321,554
455,1324,1581
456,1325,1527
457,1329,1173
458,1329,1649
459,1334,1594
460,1336,526
461,1340,741
462,1345,793
463,1345,1133
464,1345,1464
465,1350,1235
466,1352,966
467,1352,1558
468,1355,1122
469,1356,1287
470,1358,427
471,1359,1512
472,1362,473
473,1368,641
474,1368,1590
475,1372,401
476,1373,676
477,1375,1264
478,1376,1354
479,1377,1225
480,1378,775
481,1378,1427
482,1380,527
483,1381,447
484,1381,1034
485,1385,1323
486,1387,1112
487,1388,1588
488,1391,586
489,1391,963
490,1392,510
491,1393,1278
492,1395,1190
493,1395,1539
494,1395,1636
495,1399,1149
496,1405,1613
497,1406,1124
498,1407,1169
499,1408,482
500,1408,515
501,1408,1014
502,1410,1640
503,1412,408
504,1412,1202
505,1418,1671
506,1420,1432
507,1424,1599
508,1426,467
509,1429,938
510,1430,1000
511,1430,1100
512,1430,1447
513,1430,1679
514,1434,1622
515,1437,1667
516,1437,1698
517,1439,534
518,1440,789
519,1440,1482
520,1440,1559
521,1442,897
522,1443,1396
523,1445,1599
524,1446,1138
525,1449,1444
526,1450,1152
527,1452,1007
528,1453,1056
529,1454,1684
530,1457,541
531,1457,1635
532,1463,897
533,1462,1462
534,1463,1671
535,1465,987
536,1466,1614
537,1469,1145
538,1470,938
539,1470,1194
540,1473,1278
541,1473,1601
542,1474,1164
543,1477,1081
544,1478,1506
545,1480,1645
546,1483,1194
547,1484,1611
548,1486,1119
549,1489,1458
550,1492,441
551,1492,1579
552,1494,1673
553,1495,1183
554,1495,1358
555,1496,1132
556,1504,1634
557,1506,988
558,1507,1244
559,1507,1694
560,1508,1153
561,1508,1666
562,1510,1333
563,1512,1374
564,1512,1397
565,1515,329
566,1521,1090
567,1521,1262
568,1522,1599
569,1523,1153
570,1523,1176
571,1524,1661
572,1525,1390
573,1526,374
574,1528,1407
575,1535,1626
576,1536,1359
577,1537,1332
578,1538,1375
579,1540,814
580,1540,1387
581,1541,768
582,1542,1674
583,1542,1682
584,1543,1046
585,1545,1310
586,1545,1705
587,1548,1194
588,1553,1020
589,1555,1096
590,1562,1429
591,1563,1278
592,1566,1587
593,1572,1130
594,1572,1237
595,1575,666
596,1576,1320
597,1578,1286
598,1585,1094
599,1585,1507
600,1586,1576
601,1591,1344
602,1591,1419
603,1595,612
604,1596,1054
605,1596,1595
606,1603,1446
607,1607,1431
608,1611,917
609,1616,1088
610,1618,1056
611,1620,1400
612,1620,1417
613,1628,517
614,1628,1140
615,1635,1500
616,1640,887
617,1664,694
618,1675,1359
619,1680,1125
620,1682,804
621,1687,729
622,1691,1114
623,1692,860
624,1706,684
625,1711,644
626,1711,1068
627,1712,703
628,1713,1124
629,1734,1173
630,1735,808
631,1754,1043
632,1776,731
633,1795,824
634,1795,843
635,1806,821
636,1806,1175
637,1822,740
638,1827,828
639,1835,887
640,1842,898
641,1844,795
