RNA_Spot_ID,Y,X
1,171,1141
2,195,1582
3,204,1558
4,209,1495
5,210,1507
6,223,1131
7,231,1259
8,231,1221
9,235,1512
10,253,1253
11,273,1256
12,280,1325
13,285,1547
14,289,1181
15,292,1260
16,293,994
17,301,1116
18,309,1527
19,319,1192
20,321,1205
21,323,936
22,326,865
23,329,1019
24,330,1247
25,331,1159
26,331,1181
27,342,1429
28,342,1105
29,346,1319
30,350,1655
31,355,941
32,354,1042
33,356,1258
34,358,1190
35,359,1167
36,360,812
37,366,1196
38,365,1409
39,366,982
40,366,1214
41,367,1243
42,368,1037
43,369,1267
44,373,1143
45,378,831
46,377,979
47,390,699
48,392,736
49,395,818
50,395,1296
51,396,1029
52,396,1154
53,397,1171
54,405,1076
55,407,756
56,407,1019
57,408,742
58,408,996
59,411,1206
60,414,715
61,417,922
62,417,972
63,419,1039
64,423,1473
65,424,1090
66,426,1119
67,426,719
68,429,1028
69,431,1039
70,440,1233
71,441,1173
72,442,1047
73,445,1277
74,447,1391
75,450,730
76,455,957
77,455,1139
78,466,917
79,468,947
80,468,958
81,468,1107
82,472,1024
83,475,928
84,476,1052
85,475,1161
86,476,1185
87,487,1118
88,488,1357
89,492,689
90,493,983
91,495,973
92,498,916
93,498,1207
94,508,678
95,508,894
96,510,1216
97,511,651
98,511,1001
99,512,821
100,515,1562
101,519,625
102,519,924
103,522,949
104,524,761
105,532,894
106,533,849
107,538,863
108,538,1449
109,541,1019
110,545,671
111,548,1201
112,554,1046
113,555,672
114,555,1177
115,556,948
116,557,844
117,558,915
118,565,798
119,566,858
120,567,871
121,571,784
122,571,1247
123,574,662
124,574,1230
125,576,1137
126,583,1221
127,583,1486
128,585,672
129,585,789
130,587,1038
131,588,876
132,592,819
133,590,1240
134,594,1502
135,601,1210
136,604,758
137,607,849
138,607,1287
139,608,1257
140,610,1184
141,618,864
142,624,754
143,625,696
144,625,974
145,630,990
146,631,876
147,632,1127
148,632,1270
149,635,1347
150,640,1216
151,644,913
152,645,738
153,645,1039
154,646,1452
155,649,804
156,660,751
157,660,867
158,661,1289
159,666,707
160,666,912
161,667,802
162,667,929
163,668,1148
164,668,1225
165,668,1263
166,669,747
167,671,731
168,674,1048
169,680,784
170,687,1411
171,689,802
172,690,672
173,691,720
174,692,843
175,691,894
176,694,989
177,694,1394
178,696,1174
179,697,956
180,698,1199
181,702,693
182,704,1092
183,705,799
184,706,1049
185,705,1228
186,706,822
187,706,1154
188,708,1407
189,713,952
190,719,1386
191,720,900
192,720,1086
193,721,727
194,722,1339
195,724,1356
196,724,1368
197,725,1135
198,726,1403
199,730,1112
200,730,1492
201,733,974
202,737,964
203,737,1014
204,739,1056
205,740,996
206,740,1146
207,742,1283
208,748,1357
209,751,965
210,751,1068
211,753,821
212,753,1404
213,754,774
214,755,1345
215,757,1132
216,759,806
217,761,904
218,761,1386
219,762,1055
220,762,1192
221,764,1421
222,765,812
223,768,1146
224,770,1221
225,772,781
226,773,1047
227,782,1032
228,782,1232
229,783,1453
230,788,1277
231,792,845
232,793,1247
233,794,1391
234,795,1224
235,796,879
236,796,1001
237,800,855
238,801,1425
239,803,1232
240,804,756
241,804,1197
242,809,1379
243,810,1271
244,811,1252
245,816,823
246,816,1092
247,818,998
248,819,1132
249,823,1313
250,828,747
251,831,1267
252,834,1147
253,834,1290
254,840,1434
255,842,1306
256,847,1247
257,846,1417
258,847,1027
259,848,1052
260,852,1326
261,853,841
262,856,779
263,862,1115
264,865,1403
265,866,1392
266,870,1357
267,875,1032
268,876,1423
269,879,887
270,881,1388
271,884,816
272,893,877
273,893,1325
274,900,1004
275,912,1119
276,934,1054
277,935,1290
278,937,992
279,943,1789
280,948,993
281,949,1845
282,952,979
283,952,1289
284,958,881
285,960,1087
286,967,964
287,972,1011
288,972,1333
289,975,924
290,989,1131
291,990,1680
292,992,1057
293,1003,1026
294,1011,1018
295,1014,1059
296,1018,1003
297,1023,2019
298,1023,1014
299,1026,722
300,1035,1079
301,1051,999
302,1054,1087
303,1057,1752
304,1059,971
305,1068,1125
306,1071,1787
307,1082,1026
308,1083,1100
309,1086,1125
310,1092,1111
311,1098,836
312,1102,1959
313,1109,1154
314,1109,951
315,1118,1065
316,1125,1030
317,1132,1065
318,1134,1908
319,1139,1042
320,1143,1018
321,1156,978
322,1173,1110
323,1174,1993
324,1176,1060
325,1180,1084
326,1184,1141
327,1187,1123
328,1198,1122
329,1208,1814
330,1220,1103
331,1228,801
332,1234,2044
333,1234,820
334,1234,879
335,1236,1116
336,1245,759
337,1252,992
338,1258,763
339,1260,823
340,1266,925
341,1268,1106
342,1269,734
343,1270,1077
344,1276,813
345,1277,784
346,1279,1834
347,1281,615
348,1302,963
349,1306,1816
350,1307,817
351,1307,882
352,1311,1059
353,1315,731
354,1315,933
355,1319,917
356,1321,635
357,1322,1072
358,1327,815
359,1328,942
360,1329,1288
361,1344,754
362,1346,1298
363,1347,1074
364,1348,765
365,1352,834
366,1353,629
367,1353,917
368,1355,1027
369,1356,1896
370,1357,651
