RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,0,1330,False,,,,,,,,,
2,4,1865,False,,,,,,,,,
3,11,1354,False,,,,,,,,,
4,11,1396,False,,,,,,,,,
5,12,1840,False,,,,,,,,,
6,25,1777,False,,,,,,,,,
7,26,1662,False,,,,,,,,,
8,27,1821,False,,,,,,,,,
9,34,1505,False,,,,,,,,,
10,38,1417,False,,,,,,,,,
11,40,1704,False,,,,,,,,,
12,40,1748,False,,,,,,,,,
13,42,1829,False,,,,,,,,,
14,43,1866,False,,,,,,,,,
15,46,1693,False,,,,,,,,,
16,47,1352,True,1162.0,12.1,179533.0,17.740820689147665,222.31359649122808,0.0,,,
17,49,1681,False,,,,,,,,,
18,49,1704,False,,,,,,,,,
19,49,1825,False,,,,,,,,,
20,49,1903,False,,,,,,,,,
21,60,1438,False,,,,,,,,,
22,61,1858,False,,,,,,,,,
23,64,77,False,,,,,,,,,
24,64,1936,False,,,,,,,,,
25,69,1277,True,1135.0,12.3,185981.0,16.325796273986963,210.3947368421053,0.0,,,
26,72,1533,False,,,,,,,,,
27,74,1642,False,,,,,,,,,
28,74,1888,False,,,,,,,,,
29,75,1788,False,,,,,,,,,
30,76,1184,True,1201.0,13.0,234225.0,7.971770727967782,302.1184210526316,0.0,,,
31,79,1351,True,2758.0,16.1,726416.0,3.140947948108369,683.0526315789474,1.0,1.0,1.0,0.0
32,79,1802,False,,,,,,,,,
33,81,1410,True,2405.0,9.9,194930.0,34.04312594169901,240.21052631578948,0.0,,,
34,81,1855,False,,,,,,,,,
35,81,1935,False,,,,,,,,,
36,82,1819,False,,,,,,,,,
37,85,1338,True,3794.0,13.9,598688.0,6.156625605547282,652.3969298245614,1.0,1.0,1.0,0.0
38,92,1634,False,,,,,,,,,
39,94,1737,False,,,,,,,,,
40,95,1754,False,,,,,,,,,
41,96,1191,True,2728.0,11.9,362430.0,14.754044562051105,368.5285087719298,0.0,,,
42,96,1641,False,,,,,,,,,
43,97,1950,False,,,,,,,,,
44,98,94,False,,,,,,,,,
45,99,1857,False,,,,,,,,,
46,101,59,False,,,,,,,,,
47,102,1252,True,783.0,14.0,189536.0,9.888267367548488,222.30043859649123,0.0,,,
48,102,1812,False,,,,,,,,,
49,103,1732,False,,,,,,,,,
50,108,1969,False,,,,,,,,,
51,111,1545,False,,,,,,,,,
52,111,1836,False,,,,,,,,,
53,113,1754,False,,,,,,,,,
54,114,1476,False,,,,,,,,,
55,116,1365,True,2993.0,13.8,936552.0,1.6067241464541382,1208.0109649122808,1.0,1.0,1.0,0.0
56,121,1369,True,4324.0,11.3,961978.0,1.6343666654670446,1793.4451754385964,1.0,1.0,1.0,0.0
57,122,1739,False,,,,,,,,,
58,124,1508,False,,,,,,,,,
59,125,1807,False,,,,,,,,,
60,129,1758,False,,,,,,,,,
61,132,1693,False,,,,,,,,,
62,133,1633,False,,,,,,,,,
63,133,1818,False,,,,,,,,,
64,134,1947,False,,,,,,,,,
65,135,1332,True,1914.0,10.5,301754.0,9.347705120225092,470.5372807017544,1.0,1.0,1.0,0.0
66,136,1363,True,7141.0,17.0,2732030.0,3.941367696535427,2721.9210526315787,1.0,1.0,1.0,0.0
67,136,1471,False,,,,,,,,,
68,137,2030,False,,,,,,,,,
69,140,1508,False,,,,,,,,,
70,141,1387,True,4724.0,10.6,919563.0,2.4268719736091886,1633.3552631578948,1.0,1.0,1.0,0.0
71,143,1848,False,,,,,,,,,
72,144,1611,False,,,,,,,,,
73,145,1173,True,4134.0,13.5,585498.0,13.276488508912912,501.8925438596491,1.0,2.0,1.0,0.0
74,145,1682,False,,,,,,,,,
75,145,1711,False,,,,,,,,,
76,146,1831,False,,,,,,,,,
77,147,1857,False,,,,,,,,,
78,148,1382,True,4611.0,18.700000000000003,2497816.0,2.0329308382559,2281.6776315789475,1.0,1.0,1.0,0.0
79,149,1954,False,,,,,,,,,
80,152,1276,True,1506.0,9.8,158672.0,18.92701188824243,299.1469298245614,1.0,1.0,1.0,0.0
81,152,1360,True,2439.0,6.050000000000001,269011.0,0.6080479295758361,1650.2061403508771,1.0,1.0,1.0,0.0
82,152,1524,True,2881.0,10.9,381235.0,5.286036971364033,597.6732456140351,0.0,,,
83,154,1818,False,,,,,,,,,
84,154,1845,False,,,,,,,,,
85,156,1670,False,,,,,,,,,
86,157,1339,True,3046.0,10.6,374281.0,12.393522477353688,594.4473684210526,1.0,1.0,1.0,0.0
87,159,2012,False,,,,,,,,,
88,164,1814,False,,,,,,,,,
89,164,1861,False,,,,,,,,,
90,165,1377,True,4047.0,11.4,709923.0,4.456897043204751,1153.8486842105262,1.0,1.0,1.0,0.0
91,165,1490,False,,,,,,,,,
92,167,1393,True,1326.0,3.6,53668.0,1.0944304172234571,721.8092105263158,1.0,1.0,1.0,0.0
93,167,1989,False,,,,,,,,,
94,169,1733,False,,,,,,,,,
95,170,1469,False,,,,,,,,,
96,171,1329,True,1634.0,9.9,205004.0,3.584848335237881,470.0416666666667,1.0,1.0,1.0,0.0
97,173,1490,False,,,,,,,,,
98,174,1627,False,,,,,,,,,
99,175,1504,False,,,,,,,,,
100,175,1905,False,,,,,,,,,
101,176,1944,False,,,,,,,,,
102,178,1476,False,,,,,,,,,
103,183,1712,False,,,,,,,,,
104,184,1884,False,,,,,,,,,
105,185,1958,False,,,,,,,,,
106,186,1196,True,1442.0,5.6,81966.0,2.268558492552537,494.6995614035088,1.0,2.0,0.0,1.0
107,186,1615,False,,,,,,,,,
108,187,1215,True,2217.0,12.6,372092.0,7.39981075057379,428.9956140350877,1.0,4.0,1.0,0.0
109,187,1470,False,,,,,,,,,
110,187,1691,False,,,,,,,,,
111,189,1132,True,3935.0,11.5,538780.0,6.072602167760596,639.0679824561404,0.0,,,
112,189,1147,True,3603.0,11.2,477090.0,4.943567434973186,620.7675438596491,0.0,,,
113,191,1383,True,1875.0,12.0,305785.0,8.850247039144136,501.2872807017544,1.0,1.0,0.0,1.0
114,192,1644,False,,,,,,,,,
115,194,1178,True,4701.0,9.6,358802.0,26.541626694885828,378.4100877192983,0.0,,,
116,194,1471,False,,,,,,,,,
117,196,1954,False,,,,,,,,,
118,197,1364,True,2943.0,14.3,620134.0,7.199521182400048,670.4802631578947,1.0,1.0,0.0,1.0
119,197,1687,False,,,,,,,,,
120,198,1445,False,,,,,,,,,
121,199,1200,True,3283.0,8.45,297093.0,4.090640077415998,827.4320175438596,1.0,4.0,1.0,0.0
122,202,1653,False,,,,,,,,,
123,203,1646,False,,,,,,,,,
124,204,1409,True,3407.0,16.1,778904.0,4.948251438035015,779.5657894736842,1.0,6.0,1.0,0.0
125,204,1880,False,,,,,,,,,
126,205,1680,False,,,,,,,,,
127,207,1257,True,2814.0,9.7,467045.0,1.426402161300451,1232.546052631579,1.0,4.0,0.0,1.0
128,207,1959,False,,,,,,,,,
129,208,1364,True,1677.0,15.0,535126.0,1.7757872432785868,641.3026315789474,1.0,6.0,1.0,0.0
130,208,1894,False,,,,,,,,,
131,209,1625,False,,,,,,,,,
132,209,1857,False,,,,,,,,,
133,211,1444,True,6628.0,10.5,703675.0,12.291067800931724,771.6666666666666,1.0,5.0,1.0,0.0
134,212,1507,True,4710.0,9.4,458624.0,4.405610472528096,1021.188596491228,1.0,5.0,1.0,0.0
