RNA_Spot_ID,Y,X,in_mask,intensity,spot_width,sum_intensity,snr,background,in_cell,cell_mask_num,in_nuclei,in_cyto
1,33,1631,True,1222.0,12.7,196569.0,15.31626156478091,218.0438596491228,0.0,,,
2,58,1519,False,,,,,,,,,
3,70,1622,True,1029.0,18.0,447668.0,2.444584548388705,430.3486842105263,1.0,1.0,1.0,0.0
4,72,1568,True,2758.0,12.2,358626.0,18.174743230835368,349.38157894736844,0.0,,,
5,89,1630,True,1415.0,10.4,173970.0,12.563323862186252,298.6995614035088,1.0,1.0,1.0,0.0
6,106,1611,True,1598.0,13.4,330382.0,5.998113021105711,395.3421052631579,1.0,1.0,1.0,0.0
7,133,1663,True,4295.0,11.7,457924.0,21.75289669977847,405.7872807017544,1.0,1.0,1.0,0.0
8,146,1607,True,1618.0,11.3,224532.0,15.098517503366375,302.32894736842104,1.0,2.0,1.0,0.0
9,155,1231,False,,,,,,,,,
10,163,1646,True,2104.0,12.3,340558.0,6.937325128120045,442.0701754385965,1.0,1.0,1.0,0.0
11,179,1715,True,2144.0,10.0,187352.0,26.946610696842523,246.6798245614035,1.0,1.0,1.0,0.0
12,181,1638,True,2674.0,14.9,512592.0,8.930351559302876,532.8969298245614,1.0,2.0,1.0,0.0
13,187,1604,True,3159.0,12.4,358416.0,23.443420597438116,352.9627192982456,1.0,2.0,1.0,0.0
14,193,1522,True,2196.0,16.7,520371.0,6.013134215532707,509.1798245614035,0.0,,,
15,205,1702,True,3665.0,13.9,595157.0,11.75567477977988,509.1513157894737,1.0,1.0,1.0,0.0
16,222,1139,False,,,,,,,,,
17,228,1539,True,3527.0,13.5,598176.0,12.268932297952082,596.344298245614,1.0,2.0,1.0,0.0
18,241,1676,True,1409.0,9.4,226043.0,3.631845300244658,495.49780701754383,1.0,2.0,1.0,0.0
19,245,1659,True,3497.0,16.2,981803.0,4.31742131868195,954.1776315789474,1.0,2.0,1.0,0.0
20,249,1108,False,,,,,,,,,
21,251,1630,True,1212.0,10.4,175911.0,10.201111157219716,320.8925438596491,1.0,2.0,1.0,0.0
22,257,1661,True,2309.0,21.0,1175844.0,1.591474632318008,1028.8859649122808,1.0,2.0,1.0,0.0
23,260,972,False,,,,,,,,,
24,260,1711,True,3199.0,12.6,447065.0,11.184319308534716,478.1951754385965,1.0,1.0,1.0,0.0
25,262,1137,False,,,,,,,,,
26,263,1084,False,,,,,,,,,
27,267,1383,True,1432.0,14.3,446324.0,2.609240523144708,516.8662280701755,1.0,3.0,1.0,0.0
28,267,1549,True,2393.0,13.7,430357.0,11.510947816805276,405.9956140350877,1.0,2.0,1.0,0.0
29,271,1432,True,2594.0,11.1,417748.0,11.112144740124414,547.8201754385965,1.0,3.0,1.0,0.0
30,272,1398,True,2333.0,13.9,727692.0,1.7349499175445608,976.0723684210526,1.0,3.0,1.0,0.0
31,272,1409,True,3576.0,14.4,848537.0,4.660401161787778,884.6666666666666,1.0,3.0,1.0,0.0
32,275,1609,True,3705.0,11.9,451633.0,17.78456394461971,473.0504385964912,1.0,2.0,1.0,0.0
33,278,1365,True,1290.0,17.200000000000003,486878.0,2.7543392448425914,477.3245614035088,1.0,3.0,1.0,0.0
34,280,1097,False,,,,,,,,,
35,287,1462,True,2961.0,16.9,762735.0,3.770501654361514,740.4254385964912,1.0,3.0,1.0,0.0
36,289,1369,True,2004.0,11.6,245241.0,6.1431684727902764,396.7916666666667,1.0,3.0,1.0,0.0
37,290,1409,True,3540.0,9.5,368982.0,7.402810444109808,640.2324561403509,1.0,3.0,1.0,0.0
38,292,1640,True,2953.0,12.2,447121.0,11.516963054895047,565.8925438596491,1.0,2.0,1.0,0.0
39,300,1654,True,1859.0,10.2,208466.0,3.811726935352776,450.39912280701753,1.0,2.0,1.0,0.0
40,302,1620,True,3552.0,10.8,402207.0,13.732067834446944,612.1184210526316,1.0,2.0,1.0,0.0
41,308,1601,True,3533.0,12.9,632023.0,8.199950584973896,775.1206140350877,1.0,2.0,1.0,0.0
42,309,1052,False,,,,,,,,,
43,324,1724,True,2035.0,13.2,433458.0,8.236292888306737,465.2324561403509,1.0,4.0,1.0,0.0
44,327,1523,False,,,,,,,,,
45,327,1620,True,2114.0,14.5,470345.0,6.874014177693008,496.5745614035088,0.0,,,
46,327,1743,True,1291.0,12.9,293260.0,4.858298834572597,408.2982456140351,1.0,4.0,1.0,0.0
47,330,1348,True,3180.0,15.1,637709.0,3.526314601802735,699.875,1.0,3.0,1.0,0.0
48,334,1081,False,,,,,,,,,
49,340,1335,True,4285.0,14.0,600633.0,7.461115157239866,655.421052631579,1.0,3.0,1.0,0.0
50,350,1754,True,2245.0,12.7,331136.0,14.273356750091486,400.0745614035088,1.0,4.0,1.0,0.0
51,358,1463,True,2831.0,11.6,346685.0,13.995704604118606,386.48026315789474,1.0,3.0,1.0,0.0
52,359,1427,True,3738.0,10.9,379951.0,22.39797124976712,439.2894736842105,1.0,3.0,1.0,0.0
53,361,1645,True,3665.0,14.6,701646.0,7.394668584145815,739.8859649122807,1.0,4.0,1.0,0.0
54,364,1626,True,2830.0,13.4,585114.0,7.246878754669266,640.2061403508771,0.0,,,
55,371,1247,True,2804.0,12.0,338452.0,21.08184923123579,308.51973684210526,0.0,,,
